Year,Series,Value
2000,"Domestic material consumption per capita, by type of raw material (tonnes)",0.0007
2000,"Domestic material consumption per capita, by type of raw material (tonnes)",2.482
2000,"Domestic material consumption per capita, by type of raw material (tonnes)",1.2954
2000,"Domestic material consumption per capita, by type of raw material (tonnes)",-0.0022
2000,"Domestic material consumption per capita, by type of raw material (tonnes)",0.0395
2000,"Domestic material consumption per capita, by type of raw material (tonnes)",0.1429
2000,"Domestic material consumption per capita, by type of raw material (tonnes)",3.9583
2001,"Domestic material consumption per capita, by type of raw material (tonnes)",0.0008
2001,"Domestic material consumption per capita, by type of raw material (tonnes)",4.0768
2001,"Domestic material consumption per capita, by type of raw material (tonnes)",0.1481
2001,"Domestic material consumption per capita, by type of raw material (tonnes)",0.0469
2001,"Domestic material consumption per capita, by type of raw material (tonnes)",0.0018
2001,"Domestic material consumption per capita, by type of raw material (tonnes)",1.4256
2001,"Domestic material consumption per capita, by type of raw material (tonnes)",2.4537
2002,"Domestic material consumption per capita, by type of raw material (tonnes)",2.1607
2002,"Domestic material consumption per capita, by type of raw material (tonnes)",1.3527
2002,"Domestic material consumption per capita, by type of raw material (tonnes)",-0.0098
2002,"Domestic material consumption per capita, by type of raw material (tonnes)",0.0486
2002,"Domestic material consumption per capita, by type of raw material (tonnes)",0.1484
2002,"Domestic material consumption per capita, by type of raw material (tonnes)",3.7014
2002,"Domestic material consumption per capita, by type of raw material (tonnes)",0.0008
2003,"Domestic material consumption per capita, by type of raw material (tonnes)",0.1561
2003,"Domestic material consumption per capita, by type of raw material (tonnes)",0.0441
2003,"Domestic material consumption per capita, by type of raw material (tonnes)",0.0026
2003,"Domestic material consumption per capita, by type of raw material (tonnes)",1.6282
2003,"Domestic material consumption per capita, by type of raw material (tonnes)",2.4819
2003,"Domestic material consumption per capita, by type of raw material (tonnes)",0.0007
2003,"Domestic material consumption per capita, by type of raw material (tonnes)",4.3136
2004,"Domestic material consumption per capita, by type of raw material (tonnes)",2.3352
2004,"Domestic material consumption per capita, by type of raw material (tonnes)",1.6368
2004,"Domestic material consumption per capita, by type of raw material (tonnes)",0.0461
2004,"Domestic material consumption per capita, by type of raw material (tonnes)",0.0038
2004,"Domestic material consumption per capita, by type of raw material (tonnes)",0.1469
2004,"Domestic material consumption per capita, by type of raw material (tonnes)",4.1694
2004,"Domestic material consumption per capita, by type of raw material (tonnes)",0.0006
2005,"Domestic material consumption per capita, by type of raw material (tonnes)",0.1669
2005,"Domestic material consumption per capita, by type of raw material (tonnes)",2.4686
2005,"Domestic material consumption per capita, by type of raw material (tonnes)",4.3207
2005,"Domestic material consumption per capita, by type of raw material (tonnes)",0.0007
2005,"Domestic material consumption per capita, by type of raw material (tonnes)",0.0038
2005,"Domestic material consumption per capita, by type of raw material (tonnes)",0.0441
2005,"Domestic material consumption per capita, by type of raw material (tonnes)",1.6364
2006,"Domestic material consumption per capita, by type of raw material (tonnes)",2.1805
2006,"Domestic material consumption per capita, by type of raw material (tonnes)",0.1137
2006,"Domestic material consumption per capita, by type of raw material (tonnes)",1.6272
2006,"Domestic material consumption per capita, by type of raw material (tonnes)",0.0427
2006,"Domestic material consumption per capita, by type of raw material (tonnes)",0.0051
2006,"Domestic material consumption per capita, by type of raw material (tonnes)",0.001
2006,"Domestic material consumption per capita, by type of raw material (tonnes)",3.9701
2007,"Domestic material consumption per capita, by type of raw material (tonnes)",4.2321
2007,"Domestic material consumption per capita, by type of raw material (tonnes)",0.0011
2007,"Domestic material consumption per capita, by type of raw material (tonnes)",0.0496
2007,"Domestic material consumption per capita, by type of raw material (tonnes)",0.0525
2007,"Domestic material consumption per capita, by type of raw material (tonnes)",1.8709
2007,"Domestic material consumption per capita, by type of raw material (tonnes)",0.1448
2007,"Domestic material consumption per capita, by type of raw material (tonnes)",2.1131
2008,"Domestic material consumption per capita, by type of raw material (tonnes)",0.138
2008,"Domestic material consumption per capita, by type of raw material (tonnes)",0.0433
2008,"Domestic material consumption per capita, by type of raw material (tonnes)",1.6683
2008,"Domestic material consumption per capita, by type of raw material (tonnes)",2.577
2008,"Domestic material consumption per capita, by type of raw material (tonnes)",0.0124
2008,"Domestic material consumption per capita, by type of raw material (tonnes)",0.0012
2008,"Domestic material consumption per capita, by type of raw material (tonnes)",4.4403
2009,"Domestic material consumption per capita, by type of raw material (tonnes)",0.0015
2009,"Domestic material consumption per capita, by type of raw material (tonnes)",0.0112
2009,"Domestic material consumption per capita, by type of raw material (tonnes)",1.6927
2009,"Domestic material consumption per capita, by type of raw material (tonnes)",0.2061
2009,"Domestic material consumption per capita, by type of raw material (tonnes)",2.4895
2009,"Domestic material consumption per capita, by type of raw material (tonnes)",0.1333
2009,"Domestic material consumption per capita, by type of raw material (tonnes)",4.5342
2010,"Domestic material consumption per capita, by type of raw material (tonnes)",1.772
