Year,Value,Type
2000,0.297,Historique
2001,0.302,Historique
2002,0.268,Historique
2003,0.329,Historique
2004,0.257,Historique
2005,0.355,Historique
2006,0.413,Historique
2007,0.345,Historique
2008,0.355,Historique
2009,0.498,Historique
2010,0.5,Historique
2011,0.479,Historique
2012,0.483,Historique
2013,0.429,Historique
2014,0.434,Historique
2015,0.411,Historique
2016,0.523,Historique
2017,0.455,Historique
2018,0.499,Historique
2019,0.58,Historique
2020,0.568,Historique
2021,0.584,Historique
2022,0.617,Historique
2023,0.651,Historique
2024,0.651,Historique
2025,0.668,Projection
2026,0.685,Projection
2027,0.702,Projection
2028,0.719,Projection
2029,0.736,Projection
2030,0.753,Projection
