Year,Value
2000,0.0
2000,0.0
2000,0.0
2000,0.0
2000,0.0
2000,0.0
2000,0.0
2001,0.0
2001,0.0
2001,0.0
2001,0.0
2001,0.0
2001,0.0
2001,0.0
2002,0.0
2002,0.0
2002,0.0
2002,0.0
2002,0.0
2002,0.0
2002,0.0
2003,0.0
2003,0.0
2003,0.0
2003,0.0
2003,0.0
2003,0.0
2003,0.0
2004,0.0
2004,0.0
2004,0.0
2004,0.0
2004,0.0
2004,0.0
2004,0.0
2005,0.0
2005,0.0
2005,0.0
2005,0.0
2005,0.0
2005,0.0
2005,0.0
2006,0.0
2006,0.0
2006,0.0
2006,0.0
2006,0.0
2006,0.0
2006,0.0
2007,0.0
2007,0.0
2007,0.0
2007,0.0
2007,0.0
2007,0.0
2007,0.0
2008,0.0
2008,0.0
2008,0.0
2008,0.0
2008,0.0
2008,0.0
2008,0.0
2009,0.0
2009,0.0
2009,0.0
2009,0.0
2009,0.0
2009,0.0
2009,0.0
2010,3.878
2010,0.0
2010,0.0
2010,0.0
2010,0.5544
2010,0.0
2010,4.4324
2011,4.322
2011,0.0
2011,0.5408
2011,0.0
2011,0.0
2011,0.0
2011,3.7812
2012,4.2118
2012,0.0
2012,0.5305
2012,0.0
2012,0.0
2012,3.6813
2012,0.0
2013,0.0
2013,0.0
2013,3.5738
2013,0.0
2013,4.0959
2013,0.0
2013,0.5221
2014,3.9745
2014,0.0
2014,3.4624
2014,0.0
2014,0.0
2014,0.0
2014,0.5121
2015,0.0
2015,0.514
2015,0.0
2015,3.3577
2015,3.8717
2015,0.0
2015,0.0
2016,0.0
2016,3.4495
2016,0.0
2016,6.7086
2016,3.2592
2016,0.0
2016,0.0
2017,0.0
2017,5.988
2017,0.0
2017,9.1544
2017,3.1664
2017,0.0
2017,0.0
2018,0.0
2018,8.4581
2018,0.0
2018,0.0
2018,0.0
2018,11.537
2018,3.0789
2019,0.0
2019,0.0
2019,0.0
2019,16.1764
2019,3.3755
2019,2.9964
2019,9.8044
2020,21.9573
2020,9.5863
2020,9.4525
2020,0.0
2020,0.0
2020,2.9185
2020,0.0
2021,2.8454
2021,0.0
2021,0.0
2021,13.2649
2021,9.2156
2021,0.0
2021,25.3258
2022,2.776
2022,0.0
2022,0.0
2022,13.0998
2022,0.0
2022,8.9909
2022,24.8667
2023,2.7105
2023,24.2738
2023,0.0
2023,0.0
2023,8.7788
2023,12.7845
2023,0.0
2024,0.0
2024,0.0
2024,2.6484
2024,0.0
2024,14.7406
2024,8.5937
2024,25.9827
