Year,Value,Series
2000,0.0,Historique
2001,0.039,Historique
2002,0.079,Historique
2003,0.092,Historique
2004,0.103,Historique
2005,0.111,Historique
2006,0.127,Historique
2007,0.147,Historique
2008,0.162,Historique
2009,0.18,Historique
2010,0.188,Historique
2011,0.206,Historique
2012,0.327,Historique
2013,0.401,Historique
2014,0.413,Historique
2015,0.418,Historique
2016,0.426,Historique
2017,0.429,Historique
2018,0.441,Historique
2019,0.454,Historique
2020,0.49,Historique
2021,0.573,Historique
2022,0.981,Historique
2023,0.965,Historique
2024,0.966,Historique
2025,0.9585,Projection
2026,0.951,Projection
2027,0.9435,Projection
2028,0.936,Projection
2029,0.9285,Projection
2030,0.921,Projection
