Year,Series,Value
2020,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - LOWSEC",86.665
2020,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - LOWSEC",79.9974
2020,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - LOWSEC",81.3364
2021,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - LOWSEC",77.5161
2021,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - LOWSEC",85.5469
2021,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - LOWSEC",79.2052
2022,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - LOWSEC",74.9788
2022,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - LOWSEC",80.5132
2022,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - LOWSEC",73.4485
2006,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI",18.2465
2008,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI",10.6287
2008,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI",20.2097
2008,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI",12.8155
2009,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI",19.8741
2009,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI",12.3224
2009,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI",14.0076
2010,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI",13.3248
2010,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI",21.5278
2010,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI",15.094
2012,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI",21.4619
2012,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI",29.4625
2012,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI",23.4218
2013,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI",25.7148
2013,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI",33.5511
2013,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI",23.2508
2014,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI",25.7462
2014,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI",23.5922
2014,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI",32.3591
2015,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI",26.0958
2015,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI",33.1697
2015,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI",23.9546
2019,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI",34.325
2019,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI",49.5492
2019,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI",37.7978
2020,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI",46.7585
2020,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI",37.3582
2020,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI",34.4789
2021,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI",48.9375
2021,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI",35.769
2021,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI",38.8189
2022,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI",50.2955
2022,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI",37.7015
2022,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI",33.9771
2023,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI",35.4511
2023,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI",50.0415
2023,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI",38.7617
2003,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PRIMAR",55.3791
2003,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PRIMAR",55.8538
2003,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PRIMAR",55.2357
2004,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PRIMAR",51.2754
2004,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PRIMAR",49.4366
2004,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PRIMAR",50.8421
2005,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PRIMAR",47.0491
2005,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PRIMAR",45.6977
2005,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PRIMAR",41.6753
2006,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PRIMAR",49.6953
2007,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PRIMAR",46.0387
2007,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PRIMAR",38.0708
2007,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PRIMAR",49.133
2008,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PRIMAR",49.5019
2008,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PRIMAR",37.9817
2008,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PRIMAR",46.1838
2009,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PRIMAR",42.5605
2009,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PRIMAR",34.1168
2009,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PRIMAR",46.1144
2010,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PRIMAR",51.2302
2010,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PRIMAR",40.1946
2010,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PRIMAR",47.8528
2011,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PRIMAR",63.9329
2011,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PRIMAR",63.1022
2011,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PRIMAR",61.2646
2012,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PRIMAR",66.0934
2012,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PRIMAR",61.7833
2012,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PRIMAR",64.7218
2013,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PRIMAR",72.3791
2013,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PRIMAR",68.1416
2013,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PRIMAR",74.3754
2014,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PRIMAR",65.783
2014,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PRIMAR",69.9682
2014,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PRIMAR",71.9771
2015,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PRIMAR",69.9163
2015,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PRIMAR",68.3398
2015,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PRIMAR",65.0454
2019,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PRIMAR",76.8657
2019,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PRIMAR",72.0812
2019,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PRIMAR",75.3395
2020,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PRIMAR",75.0538
2020,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PRIMAR",71.0464
2020,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PRIMAR",76.9598
2021,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PRIMAR",77.4702
2021,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PRIMAR",71.6587
2021,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PRIMAR",75.5848
2022,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PRIMAR",66.2659
2022,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PRIMAR",71.7588
2022,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PRIMAR",74.5242
2023,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PRIMAR",77.0585
2023,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PRIMAR",69.3391
2023,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PRIMAR",74.4778
2024,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PRIMAR",77.1075
2024,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PRIMAR",70.4121
2024,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PRIMAR",80.635
2011,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - SECOND",48.6849
2011,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - SECOND",39.4258
2011,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - SECOND",37.2971
2012,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - SECOND",40.0617
2012,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - SECOND",45.1902
