Year,Value,Type
2000,0.342,Historique
2001,0.318,Historique
2002,0.35,Historique
2003,0.335,Historique
2004,0.355,Historique
2005,0.393,Historique
2006,0.434,Historique
2007,0.457,Historique
2008,0.449,Historique
2009,0.465,Historique
2010,0.401,Historique
2011,0.47,Historique
2012,0.527,Historique
2013,0.44,Historique
2014,0.497,Historique
2015,0.404,Historique
2016,0.507,Historique
2017,0.601,Historique
2018,0.526,Historique
2019,0.444,Historique
2020,0.448,Historique
2021,0.44,Historique
2022,0.402,Historique
2023,0.463,Historique
2024,0.449,Historique
2025,0.4725,Projection
2026,0.496,Projection
2027,0.5195,Projection
2028,0.543,Projection
2029,0.5665,Projection
2030,0.59,Projection
