Year,Value
2000,0.32
2000,8.45
2000,0.53
2000,7.6
2001,0.31
2001,9.29
2001,0.53
2001,10.13
2002,11.81
2002,0.52
2002,10.98
2002,0.31
2003,0.29
2003,11.03
2003,0.58
2003,11.9
2004,0.64
2004,11.07
2004,0.27
2004,11.99
2005,0.25
2005,11.12
2005,0.71
2005,12.08
2006,12.17
2006,0.77
2006,11.17
2006,0.23
2007,12.26
2007,0.21
2007,11.22
2007,0.83
2008,12.35
2008,0.89
2008,11.27
2008,0.19
2009,0.17
2009,11.32
2009,12.44
2009,0.95
2010,1.01
2010,12.53
2010,11.37
2010,0.15
2011,11.42
2011,12.62
2011,1.07
2011,0.13
2012,1.14
2012,12.71
2012,11.47
2012,0.11
2013,0.09
2013,11.52
2013,12.8
2013,1.2
2014,0.07
2014,1.26
2014,12.89
2014,11.57
2015,0.05
2015,11.62
2015,12.99
2015,1.32
2016,1.38
2016,13.08
2016,11.67
2016,0.03
2017,0.01
2017,11.71
2017,13.16
2017,1.44
2018,16.09
2018,14.66
2018,0.01
2018,1.42
2019,0.01
2019,14.86
2019,16.28
2019,1.41
2020,1.41
2020,16.28
2020,14.86
2020,0.01
2021,1.41
2021,0.01
2021,14.86
2021,16.28
2022,1.41
2022,16.28
2022,14.86
2022,0.01
2023,0.01
2023,14.86
2023,16.28
2023,1.41
