Year,Value
2000,4.96
2000,0.06
2000,40.0
2000,53.93
2001,55.11
2001,42.64
2001,0.06
2001,4.24
2002,3.74
2002,44.92
2002,57.17
2002,0.04
2003,54.52
2003,49.14
2003,3.91
2003,0.05
2004,0.05
2004,4.09
2004,57.18
2004,51.54
2005,48.22
2005,60.51
2005,4.11
2005,0.05
2006,66.36
2006,47.42
2006,0.05
2006,4.28
2007,46.31
2007,75.29
2007,4.45
2007,0.05
2008,4.52
2008,79.91
2008,45.07
2008,0.06
2009,0.06
2009,42.46
2009,91.04
2009,4.54
2010,0.06
2010,4.65
2010,104.67
2010,41.41
2011,0.05
2011,40.49
2011,132.26
2011,4.84
2012,4.99
2012,160.69
2012,39.87
2012,0.06
2013,212.11
2013,38.04
2013,0.06
2013,5.08
2014,5.34
2014,0.06
2014,39.12
2014,274.99
2015,422.96
2015,38.0
2015,0.07
2015,5.52
2016,5.85
2016,0.07
2016,39.21
2016,740.06
2017,2492.2
2017,40.63
2017,0.08
2017,6.26
2018,5.49
2018,0.07
2018,43.9
2018,3307.37
2019,45.8
2019,0.07
2019,5.63
2019,3433.5
2020,5.65
2020,0.08
2020,46.07
2020,3413.52
2021,3779.5
2021,48.97
2021,0.08
2021,6.08
2022,6.32
2022,0.09
2022,50.35
2022,4031.36
2023,0.1
2023,6.54
2023,3941.08
2023,53.21
