Year,Value,Series
2000,0.357,Historique
2001,0.363,Historique
2002,0.391,Historique
2003,0.385,Historique
2004,0.289,Historique
2005,0.288,Historique
2006,0.318,Historique
2007,0.304,Historique
2008,0.312,Historique
2009,0.298,Historique
2010,0.308,Historique
2011,0.364,Historique
2012,0.369,Historique
2013,0.379,Historique
2014,0.298,Historique
2015,0.321,Historique
2016,0.32,Historique
2017,0.372,Historique
2018,0.426,Historique
2019,0.538,Historique
2020,0.504,Historique
2021,0.452,Historique
2022,0.643,Historique
2023,0.632,Historique
2024,0.754,Historique
2025,0.8095,Projection
2026,0.865,Projection
2027,0.9205,Projection
2028,0.976,Projection
2029,1.0,Projection
2030,1.0,Projection
