Year,Value,Type
2000,0.338,Historique
2001,0.318,Historique
2002,0.319,Historique
2003,0.32,Historique
2004,0.366,Historique
2005,0.322,Historique
2006,0.328,Historique
2007,0.334,Historique
2008,0.356,Historique
2009,0.341,Historique
2010,0.317,Historique
2011,0.317,Historique
2012,0.364,Historique
2013,0.343,Historique
2014,0.399,Historique
2015,0.36,Historique
2016,0.366,Historique
2017,0.323,Historique
2018,0.362,Historique
2019,0.462,Historique
2020,0.478,Historique
2021,0.536,Historique
2022,0.524,Historique
2023,0.623,Historique
2024,0.592,Historique
2025,0.626,Projection
2026,0.66,Projection
2027,0.694,Projection
2028,0.728,Projection
2029,0.762,Projection
2030,0.796,Projection
