Year,Value,Type
2000,0.136,Historique
2001,0.259,Historique
2002,0.187,Historique
2003,0.233,Historique
2004,0.291,Historique
2005,0.293,Historique
2006,0.243,Historique
2007,0.27,Historique
2008,0.747,Historique
2009,0.818,Historique
2010,0.286,Historique
2011,0.426,Historique
2012,0.466,Historique
2013,0.587,Historique
2014,0.522,Historique
2015,0.44,Historique
2016,0.425,Historique
2017,0.403,Historique
2018,0.443,Historique
2019,0.393,Historique
2020,0.392,Historique
2021,0.376,Historique
2022,0.369,Historique
2023,0.369,Historique
2024,0.378,Historique
2025,0.3825,Projection
2026,0.387,Projection
2027,0.3915,Projection
2028,0.396,Projection
2029,0.4005,Projection
2030,0.405,Projection
