Year,Series,Value
2018,Proportion of elected seats held by women in deliberative bodies of local government (%),47.5564
2023,Proportion of elected seats held by women in deliberative bodies of local government (%),47.2326
2000,Proportion of seats held by women in national parliaments (% of total number of seats),12.14
2001,Proportion of seats held by women in national parliaments (% of total number of seats),12.14
2002,Proportion of seats held by women in national parliaments (% of total number of seats),16.67
2003,Proportion of seats held by women in national parliaments (% of total number of seats),19.17
2004,Proportion of seats held by women in national parliaments (% of total number of seats),19.17
2005,Proportion of seats held by women in national parliaments (% of total number of seats),19.17
2006,Proportion of seats held by women in national parliaments (% of total number of seats),19.17
2007,Proportion of seats held by women in national parliaments (% of total number of seats),19.17
2008,Proportion of seats held by women in national parliaments (% of total number of seats),22.0
2009,Proportion of seats held by women in national parliaments (% of total number of seats),22.0
2010,Proportion of seats held by women in national parliaments (% of total number of seats),22.67
2011,Proportion of seats held by women in national parliaments (% of total number of seats),22.67
2012,Proportion of seats held by women in national parliaments (% of total number of seats),22.67
2013,Proportion of seats held by women in national parliaments (% of total number of seats),42.67
2014,Proportion of seats held by women in national parliaments (% of total number of seats),43.33
2015,Proportion of seats held by women in national parliaments (% of total number of seats),42.67
2016,Proportion of seats held by women in national parliaments (% of total number of seats),42.67
2017,Proportion of seats held by women in national parliaments (% of total number of seats),42.67
2018,Proportion of seats held by women in national parliaments (% of total number of seats),41.82
2019,Proportion of seats held by women in national parliaments (% of total number of seats),41.82
2020,Proportion of seats held by women in national parliaments (% of total number of seats),43.03
2021,Proportion of seats held by women in national parliaments (% of total number of seats),43.03
2022,Proportion of seats held by women in national parliaments (% of total number of seats),42.68
2023,Proportion of seats held by women in national parliaments (% of total number of seats),46.06
2024,Proportion of seats held by women in national parliaments (% of total number of seats),46.06
2000,Number of seats held by women in national parliaments (number),17.0
2001,Number of seats held by women in national parliaments (number),17.0
2002,Number of seats held by women in national parliaments (number),20.0
2003,Number of seats held by women in national parliaments (number),23.0
2004,Number of seats held by women in national parliaments (number),23.0
2005,Number of seats held by women in national parliaments (number),23.0
2006,Number of seats held by women in national parliaments (number),23.0
2007,Number of seats held by women in national parliaments (number),23.0
2008,Number of seats held by women in national parliaments (number),33.0
2009,Number of seats held by women in national parliaments (number),33.0
2010,Number of seats held by women in national parliaments (number),34.0
2011,Number of seats held by women in national parliaments (number),34.0
2012,Number of seats held by women in national parliaments (number),34.0
2013,Number of seats held by women in national parliaments (number),64.0
2014,Number of seats held by women in national parliaments (number),65.0
2015,Number of seats held by women in national parliaments (number),64.0
2016,Number of seats held by women in national parliaments (number),64.0
2017,Number of seats held by women in national parliaments (number),64.0
2018,Number of seats held by women in national parliaments (number),69.0
2019,Number of seats held by women in national parliaments (number),69.0
2020,Number of seats held by women in national parliaments (number),71.0
2021,Number of seats held by women in national parliaments (number),71.0
2022,Number of seats held by women in national parliaments (number),70.0
2023,Number of seats held by women in national parliaments (number),76.0
2024,Number of seats held by women in national parliaments (number),76.0
2021,Current number of seats in national parliaments (number),165.0
2022,Current number of seats in national parliaments (number),164.0
2023,Current number of seats in national parliaments (number),165.0
2024,Current number of seats in national parliaments (number),165.0
