Year,Series,Value
2014,"Number of automated teller machines (ATMs) per 100,000 adults",5.3273
2015,"Number of automated teller machines (ATMs) per 100,000 adults",5.2669
2016,"Number of automated teller machines (ATMs) per 100,000 adults",5.5367
2017,"Number of automated teller machines (ATMs) per 100,000 adults",5.5918
2018,"Number of automated teller machines (ATMs) per 100,000 adults",6.0092
2019,"Number of automated teller machines (ATMs) per 100,000 adults",5.78
2020,"Number of automated teller machines (ATMs) per 100,000 adults",6.3985
2021,"Number of automated teller machines (ATMs) per 100,000 adults",6.5359
2022,"Number of automated teller machines (ATMs) per 100,000 adults",6.7977
2023,"Number of automated teller machines (ATMs) per 100,000 adults",6.6791
2024,"Number of automated teller machines (ATMs) per 100,000 adults",6.2776
2004,"Number of commercial bank branches per 100,000 adults",1.9527
2005,"Number of commercial bank branches per 100,000 adults",2.4803
2006,"Number of commercial bank branches per 100,000 adults",2.89
2007,"Number of commercial bank branches per 100,000 adults",3.0717
2008,"Number of commercial bank branches per 100,000 adults",3.7364
2009,"Number of commercial bank branches per 100,000 adults",3.9304
2010,"Number of commercial bank branches per 100,000 adults",4.1969
2011,"Number of commercial bank branches per 100,000 adults",4.5103
2012,"Number of commercial bank branches per 100,000 adults",4.7464
2013,"Number of commercial bank branches per 100,000 adults",4.6571
2014,"Number of commercial bank branches per 100,000 adults",4.6875
2015,"Number of commercial bank branches per 100,000 adults",4.9935
2016,"Number of commercial bank branches per 100,000 adults",5.0083
2017,"Number of commercial bank branches per 100,000 adults",5.5918
2018,"Number of commercial bank branches per 100,000 adults",5.4201
2019,"Number of commercial bank branches per 100,000 adults",5.0149
2020,"Number of commercial bank branches per 100,000 adults",5.011
2021,"Number of commercial bank branches per 100,000 adults",5.3598
2022,"Number of commercial bank branches per 100,000 adults",5.2054
2023,"Number of commercial bank branches per 100,000 adults",5.309
2024,"Number of commercial bank branches per 100,000 adults",5.2721
