Year,Series,Value
2000,Proportion of women aged 15-49 years with anaemia (%),57.4
2001,Proportion of women aged 15-49 years with anaemia (%),57.1
2002,Proportion of women aged 15-49 years with anaemia (%),56.9
2003,Proportion of women aged 15-49 years with anaemia (%),56.6
2004,Proportion of women aged 15-49 years with anaemia (%),56.2
2005,Proportion of women aged 15-49 years with anaemia (%),55.7
2006,Proportion of women aged 15-49 years with anaemia (%),55.1
2007,Proportion of women aged 15-49 years with anaemia (%),54.4
2008,Proportion of women aged 15-49 years with anaemia (%),53.5
2009,Proportion of women aged 15-49 years with anaemia (%),52.6
2010,Proportion of women aged 15-49 years with anaemia (%),51.5
2011,Proportion of women aged 15-49 years with anaemia (%),50.5
2012,Proportion of women aged 15-49 years with anaemia (%),49.6
2013,Proportion of women aged 15-49 years with anaemia (%),48.7
2014,Proportion of women aged 15-49 years with anaemia (%),47.8
2015,Proportion of women aged 15-49 years with anaemia (%),47.0
2016,Proportion of women aged 15-49 years with anaemia (%),46.3
2017,Proportion of women aged 15-49 years with anaemia (%),45.6
2018,Proportion of women aged 15-49 years with anaemia (%),44.9
2019,Proportion of women aged 15-49 years with anaemia (%),44.3
2020,Proportion of women aged 15-49 years with anaemia (%),43.7
2021,Proportion of women aged 15-49 years with anaemia (%),43.3
2022,Proportion of women aged 15-49 years with anaemia (%),43.1
2023,Proportion of women aged 15-49 years with anaemia (%),43.1
2000,"Proportion of women aged 15-49 years with anaemia, non-pregnant (%)",56.8
2001,"Proportion of women aged 15-49 years with anaemia, non-pregnant (%)",56.5
2002,"Proportion of women aged 15-49 years with anaemia, non-pregnant (%)",56.2
2003,"Proportion of women aged 15-49 years with anaemia, non-pregnant (%)",55.9
2004,"Proportion of women aged 15-49 years with anaemia, non-pregnant (%)",55.5
2005,"Proportion of women aged 15-49 years with anaemia, non-pregnant (%)",55.0
2006,"Proportion of women aged 15-49 years with anaemia, non-pregnant (%)",54.4
2007,"Proportion of women aged 15-49 years with anaemia, non-pregnant (%)",53.7
2008,"Proportion of women aged 15-49 years with anaemia, non-pregnant (%)",52.8
2009,"Proportion of women aged 15-49 years with anaemia, non-pregnant (%)",51.8
2010,"Proportion of women aged 15-49 years with anaemia, non-pregnant (%)",50.7
2011,"Proportion of women aged 15-49 years with anaemia, non-pregnant (%)",49.7
2012,"Proportion of women aged 15-49 years with anaemia, non-pregnant (%)",48.7
2013,"Proportion of women aged 15-49 years with anaemia, non-pregnant (%)",47.8
2014,"Proportion of women aged 15-49 years with anaemia, non-pregnant (%)",46.9
2015,"Proportion of women aged 15-49 years with anaemia, non-pregnant (%)",46.2
2016,"Proportion of women aged 15-49 years with anaemia, non-pregnant (%)",45.4
2017,"Proportion of women aged 15-49 years with anaemia, non-pregnant (%)",44.7
2018,"Proportion of women aged 15-49 years with anaemia, non-pregnant (%)",44.1
2019,"Proportion of women aged 15-49 years with anaemia, non-pregnant (%)",43.5
2020,"Proportion of women aged 15-49 years with anaemia, non-pregnant (%)",43.0
2021,"Proportion of women aged 15-49 years with anaemia, non-pregnant (%)",42.7
2022,"Proportion of women aged 15-49 years with anaemia, non-pregnant (%)",42.5
2023,"Proportion of women aged 15-49 years with anaemia, non-pregnant (%)",42.4
2000,"Proportion of women aged 15-49 years with anaemia, pregnant (%)",62.7
2001,"Proportion of women aged 15-49 years with anaemia, pregnant (%)",62.7
2002,"Proportion of women aged 15-49 years with anaemia, pregnant (%)",62.6
2003,"Proportion of women aged 15-49 years with anaemia, pregnant (%)",62.5
2004,"Proportion of women aged 15-49 years with anaemia, pregnant (%)",62.3
2005,"Proportion of women aged 15-49 years with anaemia, pregnant (%)",62.0
2006,"Proportion of women aged 15-49 years with anaemia, pregnant (%)",61.7
2007,"Proportion of women aged 15-49 years with anaemia, pregnant (%)",61.2
2008,"Proportion of women aged 15-49 years with anaemia, pregnant (%)",60.6
2009,"Proportion of women aged 15-49 years with anaemia, pregnant (%)",60.0
2010,"Proportion of women aged 15-49 years with anaemia, pregnant (%)",59.3
2011,"Proportion of women aged 15-49 years with anaemia, pregnant (%)",58.6
2012,"Proportion of women aged 15-49 years with anaemia, pregnant (%)",57.8
2013,"Proportion of women aged 15-49 years with anaemia, pregnant (%)",57.1
2014,"Proportion of women aged 15-49 years with anaemia, pregnant (%)",56.3
2015,"Proportion of women aged 15-49 years with anaemia, pregnant (%)",55.6
2016,"Proportion of women aged 15-49 years with anaemia, pregnant (%)",54.9
2017,"Proportion of women aged 15-49 years with anaemia, pregnant (%)",54.2
2018,"Proportion of women aged 15-49 years with anaemia, pregnant (%)",53.5
2019,"Proportion of women aged 15-49 years with anaemia, pregnant (%)",52.8
2020,"Proportion of women aged 15-49 years with anaemia, pregnant (%)",52.2
2021,"Proportion of women aged 15-49 years with anaemia, pregnant (%)",51.6
2022,"Proportion of women aged 15-49 years with anaemia, pregnant (%)",51.2
2023,"Proportion of women aged 15-49 years with anaemia, pregnant (%)",50.9
