Year,Series,Value
2014,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%) - BOTHSEX,29.1
2014,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%) - BOTHSEX,34.8
2017,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%) - BOTHSEX,7.7082
2017,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%) - BOTHSEX,8.6568
2019,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%) - BOTHSEX,41.1
2019,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%) - BOTHSEX,27.2
2014,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%) - FEMALE,25.0
2014,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%) - FEMALE,34.23
2017,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%) - FEMALE,7.1677
2017,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%) - FEMALE,9.1251
2019,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%) - FEMALE,43.5
2019,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%) - FEMALE,28.0
2014,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%) - MALE,33.33
2014,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%) - MALE,35.2
2017,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%) - MALE,8.3353
2017,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%) - MALE,8.1135
2019,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%) - MALE,28.5
2019,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%) - MALE,38.2
