Year,Series,Value
2024,Number of local governments that adopt and implement local DRR strategies in line with national strategies (number),0.0
2024,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies (%),0.0
2024,Number of local governments (number),0.0
