Year,Series,Value
2011,"Participation rate in formal and non-formal education and training, by sex (%) - 15-24",36.6082
2011,"Participation rate in formal and non-formal education and training, by sex (%) - 15-24",32.0868
2011,"Participation rate in formal and non-formal education and training, by sex (%) - 15-24",41.7136
2015,"Participation rate in formal and non-formal education and training, by sex (%) - 15-24",45.0862
2015,"Participation rate in formal and non-formal education and training, by sex (%) - 15-24",39.1498
2015,"Participation rate in formal and non-formal education and training, by sex (%) - 15-24",41.9073
2016,"Participation rate in formal and non-formal education and training, by sex (%) - 15-24",39.0984
2016,"Participation rate in formal and non-formal education and training, by sex (%) - 15-24",42.5046
2016,"Participation rate in formal and non-formal education and training, by sex (%) - 15-24",46.2054
2017,"Participation rate in formal and non-formal education and training, by sex (%) - 15-24",44.6089
2017,"Participation rate in formal and non-formal education and training, by sex (%) - 15-24",37.6364
2017,"Participation rate in formal and non-formal education and training, by sex (%) - 15-24",40.8696
2019,"Participation rate in formal and non-formal education and training, by sex (%) - 15-24",36.9725
2019,"Participation rate in formal and non-formal education and training, by sex (%) - 15-24",38.1829
2019,"Participation rate in formal and non-formal education and training, by sex (%) - 15-24",39.35
2022,"Participation rate in formal and non-formal education and training, by sex (%) - 15-24",41.6957
2022,"Participation rate in formal and non-formal education and training, by sex (%) - 15-24",42.9374
2022,"Participation rate in formal and non-formal education and training, by sex (%) - 15-24",44.0104
2011,"Participation rate in formal and non-formal education and training, by sex (%) - 15-64",14.8665
2011,"Participation rate in formal and non-formal education and training, by sex (%) - 15-64",12.2667
2011,"Participation rate in formal and non-formal education and training, by sex (%) - 15-64",18.1097
2015,"Participation rate in formal and non-formal education and training, by sex (%) - 15-64",16.616
2015,"Participation rate in formal and non-formal education and training, by sex (%) - 15-64",20.8706
2015,"Participation rate in formal and non-formal education and training, by sex (%) - 15-64",18.584
2016,"Participation rate in formal and non-formal education and training, by sex (%) - 15-64",18.1525
2016,"Participation rate in formal and non-formal education and training, by sex (%) - 15-64",21.2013
2016,"Participation rate in formal and non-formal education and training, by sex (%) - 15-64",15.5999
2017,"Participation rate in formal and non-formal education and training, by sex (%) - 15-64",19.4195
2017,"Participation rate in formal and non-formal education and training, by sex (%) - 15-64",14.6751
2017,"Participation rate in formal and non-formal education and training, by sex (%) - 15-64",16.7886
2019,"Participation rate in formal and non-formal education and training, by sex (%) - 15-64",15.4896
2019,"Participation rate in formal and non-formal education and training, by sex (%) - 15-64",17.0726
2019,"Participation rate in formal and non-formal education and training, by sex (%) - 15-64",13.9705
2022,"Participation rate in formal and non-formal education and training, by sex (%) - 15-64",17.9132
2022,"Participation rate in formal and non-formal education and training, by sex (%) - 15-64",16.9179
2022,"Participation rate in formal and non-formal education and training, by sex (%) - 15-64",16.1669
2011,"Participation rate in formal and non-formal education and training, by sex (%) - 25-54",2.1198
2011,"Participation rate in formal and non-formal education and training, by sex (%) - 25-54",3.099
2011,"Participation rate in formal and non-formal education and training, by sex (%) - 25-54",1.391
2015,"Participation rate in formal and non-formal education and training, by sex (%) - 25-54",4.6178
2015,"Participation rate in formal and non-formal education and training, by sex (%) - 25-54",7.9387
2015,"Participation rate in formal and non-formal education and training, by sex (%) - 25-54",6.1231
2016,"Participation rate in formal and non-formal education and training, by sex (%) - 25-54",4.3705
2016,"Participation rate in formal and non-formal education and training, by sex (%) - 25-54",6.0118
2016,"Participation rate in formal and non-formal education and training, by sex (%) - 25-54",3.1183
2017,"Participation rate in formal and non-formal education and training, by sex (%) - 25-54",2.3805
2017,"Participation rate in formal and non-formal education and training, by sex (%) - 25-54",4.3717
2017,"Participation rate in formal and non-formal education and training, by sex (%) - 25-54",3.2233
2019,"Participation rate in formal and non-formal education and training, by sex (%) - 25-54",3.2617
2019,"Participation rate in formal and non-formal education and training, by sex (%) - 25-54",4.4505
2019,"Participation rate in formal and non-formal education and training, by sex (%) - 25-54",2.17
2022,"Participation rate in formal and non-formal education and training, by sex (%) - 25-54",1.8731
2022,"Participation rate in formal and non-formal education and training, by sex (%) - 25-54",2.9774
2022,"Participation rate in formal and non-formal education and training, by sex (%) - 25-54",2.3217
2015,"Participation rate in formal and non-formal education and training, by sex (%) - 55-64",2.3535
2015,"Participation rate in formal and non-formal education and training, by sex (%) - 55-64",3.8061
2019,"Participation rate in formal and non-formal education and training, by sex (%) - 55-64",0.4537
