Year,Series,Value
2013,Fossil-fuel subsidies (consumption and production) (billions of nominal United States dollars),0.0041
2014,Fossil-fuel subsidies (consumption and production) (billions of nominal United States dollars),0.0037
2013,Fossil-fuel subsidies (consumption and production) as a proportion of total GDP (%),0.0245
2014,Fossil-fuel subsidies (consumption and production) as a proportion of total GDP (%),0.0207
2013,Fossil-fuel subsidies (consumption and production) per capita (nominal United States dollars),0.3013
2014,Fossil-fuel subsidies (consumption and production) per capita (nominal United States dollars),0.2619
