Year,Series,Value
2000,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",16.18
2000,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",63.01
2000,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",27.82
2000,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",23.51
2000,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",5.31
2000,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",3.6
2000,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",0.78
2000,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",14.73
2000,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",11.06
2000,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",2.61
2000,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",1.29
2000,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",42.95
2000,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",15.01
2000,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",4.52
2000,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",0.49
2000,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",12.25
2000,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",3.44
2000,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",1.15
2000,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",13.09
2000,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",5.94
2000,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",32.79
2000,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",22.37
2000,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",54.08
2000,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",11.1
2002,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",14.1689
2002,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",52.7382
2002,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",14.1872
2002,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",17.4695
2002,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",3.0169
2002,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",4.5039
2002,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",24.9309
2002,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",32.7858
2002,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",8.8846
2005,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",10.5401
2005,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",0.0
2005,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",4.8554
2005,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",0.7105
2005,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",9.9951
2005,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",0.5416
2005,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",1.3724
2005,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",9.1855
2005,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",0.0
2005,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",2.328
2005,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",26.9834
2005,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",53.4619
2005,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",13.9874
2005,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",34.5993
2005,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",24.3134
2005,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",18.1206
2005,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",7.7688
2005,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",18.2755
2005,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",2.296
2005,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",20.9863
2005,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",0.0
2005,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",0.5929
2005,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",0.7636
2005,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",1.7371
2005,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",0.971
2005,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",11.8695
2005,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",31.6489
2005,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",1.3515
2005,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",24.4304
2005,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",49.7399
2005,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",8.3191
2005,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",8.7922
2005,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",1.2346
2005,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",0.5589
2005,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",3.301
2005,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",24.8962
2005,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",0.6977
2005,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",4.8173
2005,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",4.598
2005,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",20.9926
2005,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",2.8317
2005,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",0.0
2005,"Completion rate, by sex, location, wealth quintile and education level (%) - BOTHSEX",7.1859
