Year,Type,Value
2000,Historique,0.0
2001,Historique,0.039
2002,Historique,0.079
2003,Historique,0.092
2004,Historique,0.103
2005,Historique,0.111
2006,Historique,0.127
2007,Historique,0.147
2008,Historique,0.162
2009,Historique,0.18
2010,Historique,0.188
2011,Historique,0.206
2012,Historique,0.327
2013,Historique,0.401
2014,Historique,0.413
2015,Historique,0.418
2016,Historique,0.426
2017,Historique,0.429
2018,Historique,0.441
2019,Historique,0.454
2020,Historique,0.49
2021,Historique,0.573
2022,Historique,0.981
2023,Historique,0.965
2024,Historique,0.966
2025,Projection,0.9585
2026,Projection,0.951
2027,Projection,0.9435
2028,Projection,0.936
2029,Projection,0.9285
2030,Projection,0.921
