Year,Type,Value
2000,Historique,0.297
2001,Historique,0.302
2002,Historique,0.268
2003,Historique,0.329
2004,Historique,0.257
2005,Historique,0.355
2006,Historique,0.413
2007,Historique,0.345
2008,Historique,0.355
2009,Historique,0.498
2010,Historique,0.5
2011,Historique,0.479
2012,Historique,0.483
2013,Historique,0.429
2014,Historique,0.434
2015,Historique,0.411
2016,Historique,0.523
2017,Historique,0.455
2018,Historique,0.499
2019,Historique,0.58
2020,Historique,0.568
2021,Historique,0.584
2022,Historique,0.617
2023,Historique,0.651
2024,Historique,0.651
2025,Projection,0.668
2026,Projection,0.685
2027,Projection,0.702
2028,Projection,0.719
2029,Projection,0.736
2030,Projection,0.753
