Year,Series,Value
2019,Food waste (Tonnes),2328423.111
2019,Food waste (Tonnes),1622979.607
2019,Food waste (Tonnes),450564.0824
2019,Food waste (Tonnes),254879.4213
2022,Food waste (Tonnes),167620.8416
2022,Food waste (Tonnes),539300.4183
2022,Food waste (Tonnes),1328487.3
2022,Food waste (Tonnes),2035408.56
2019,Food waste per capita (KG),145.5193
2019,Food waste per capita (KG),101.4313
2019,Food waste per capita (KG),15.9292
2019,Food waste per capita (KG),28.1589
2022,Food waste per capita (KG),31.1438
2022,Food waste per capita (KG),9.6799
2022,Food waste per capita (KG),76.7182
2022,Food waste per capita (KG),117.5419
