Year,Value,Series
2023,76.4,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age) - <1Y
2023,81.4,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age) - <5Y
2023,84.7,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age) - M12T23
2023,83.5,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age) - M24T35
2023,79.8,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age) - M36T47
2023,82.2,Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age) - M48T59
