Year,Value,Series
2023,83.4761,"Proportion of schools with basic handwashing facilities, by education level (%) - LOWSEC"
2024,45.3528,"Proportion of schools with basic handwashing facilities, by education level (%) - LOWSEC"
2019,40.2591,"Proportion of schools with basic handwashing facilities, by education level (%) - PRIMAR"
2021,93.9933,"Proportion of schools with basic handwashing facilities, by education level (%) - PRIMAR"
2022,84.2857,"Proportion of schools with basic handwashing facilities, by education level (%) - PRIMAR"
2023,76.6149,"Proportion of schools with basic handwashing facilities, by education level (%) - PRIMAR"
2024,62.3916,"Proportion of schools with basic handwashing facilities, by education level (%) - PRIMAR"
2024,45.3333,"Proportion of schools with basic handwashing facilities, by education level (%) - UPPSEC"
2019,81.1603,"Proportion of schools with access to computers for pedagogical purposes, by education level (%) - LOWSEC"
2020,73.6049,"Proportion of schools with access to computers for pedagogical purposes, by education level (%) - LOWSEC"
2021,83.0148,"Proportion of schools with access to computers for pedagogical purposes, by education level (%) - LOWSEC"
2022,84.0259,"Proportion of schools with access to computers for pedagogical purposes, by education level (%) - LOWSEC"
2023,98.2864,"Proportion of schools with access to computers for pedagogical purposes, by education level (%) - LOWSEC"
2024,64.0876,"Proportion of schools with access to computers for pedagogical purposes, by education level (%) - LOWSEC"
2019,27.2648,"Proportion of schools with access to computers for pedagogical purposes, by education level (%) - PRIMAR"
2020,28.5035,"Proportion of schools with access to computers for pedagogical purposes, by education level (%) - PRIMAR"
2021,18.6097,"Proportion of schools with access to computers for pedagogical purposes, by education level (%) - PRIMAR"
2022,18.7625,"Proportion of schools with access to computers for pedagogical purposes, by education level (%) - PRIMAR"
2023,23.4211,"Proportion of schools with access to computers for pedagogical purposes, by education level (%) - PRIMAR"
2024,12.5391,"Proportion of schools with access to computers for pedagogical purposes, by education level (%) - PRIMAR"
2019,82.5316,"Proportion of schools with access to computers for pedagogical purposes, by education level (%) - SECOND"
2020,79.4046,"Proportion of schools with access to computers for pedagogical purposes, by education level (%) - SECOND"
2021,84.7331,"Proportion of schools with access to computers for pedagogical purposes, by education level (%) - SECOND"
2022,86.3681,"Proportion of schools with access to computers for pedagogical purposes, by education level (%) - SECOND"
2024,60.791,"Proportion of schools with access to computers for pedagogical purposes, by education level (%) - SECOND"
2019,84.8633,"Proportion of schools with access to computers for pedagogical purposes, by education level (%) - UPPSEC"
2020,89.1816,"Proportion of schools with access to computers for pedagogical purposes, by education level (%) - UPPSEC"
2021,87.5676,"Proportion of schools with access to computers for pedagogical purposes, by education level (%) - UPPSEC"
2022,90.0338,"Proportion of schools with access to computers for pedagogical purposes, by education level (%) - UPPSEC"
2024,49.5,"Proportion of schools with access to computers for pedagogical purposes, by education level (%) - UPPSEC"
2020,83.5379,"Proportion of schools with access to electricity, by education level (%) - LOWSEC"
2021,85.254,"Proportion of schools with access to electricity, by education level (%) - LOWSEC"
2022,85.429,"Proportion of schools with access to electricity, by education level (%) - LOWSEC"
2024,87.3479,"Proportion of schools with access to electricity, by education level (%) - LOWSEC"
2014,49.6007,"Proportion of schools with access to electricity, by education level (%) - PRIMAR"
2019,44.0975,"Proportion of schools with access to electricity, by education level (%) - PRIMAR"
2020,45.695,"Proportion of schools with access to electricity, by education level (%) - PRIMAR"
2021,48.6621,"Proportion of schools with access to electricity, by education level (%) - PRIMAR"
2022,50.8735,"Proportion of schools with access to electricity, by education level (%) - PRIMAR"
2023,53.4274,"Proportion of schools with access to electricity, by education level (%) - PRIMAR"
2024,56.6497,"Proportion of schools with access to electricity, by education level (%) - PRIMAR"
2019,91.4062,"Proportion of schools with access to electricity, by education level (%) - UPPSEC"
2020,95.0141,"Proportion of schools with access to electricity, by education level (%) - UPPSEC"
2021,96.3964,"Proportion of schools with access to electricity, by education level (%) - UPPSEC"
2022,96.1149,"Proportion of schools with access to electricity, by education level (%) - UPPSEC"
2024,96.3333,"Proportion of schools with access to electricity, by education level (%) - UPPSEC"
