Year,Value,Series
2006,285.457,"Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)"
2007,132.926,"Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)"
2008,386.972,"Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)"
2009,437.089,"Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)"
2010,1090.09,"Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)"
2011,258.517,"Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)"
2012,401.0,"Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)"
2013,380.623,"Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)"
2014,431.041,"Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)"
2015,701.01,"Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)"
2016,278.742,"Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)"
2017,1109.35,"Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)"
2018,453.885,"Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)"
2019,790.035,"Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)"
2020,467.358,"Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)"
2021,1308.41,"Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)"
2022,562.114,"Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)"
2023,444.849,"Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)"
2024,459.531,"Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)"
2006,213.256,"Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)"
2007,202.161,"Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)"
2008,306.271,"Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)"
2009,229.229,"Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)"
2010,269.821,"Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)"
2011,330.212,"Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)"
2012,281.433,"Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)"
2013,359.159,"Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)"
2014,544.639,"Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)"
2015,512.24,"Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)"
2016,332.567,"Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)"
2017,438.353,"Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)"
2018,367.911,"Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)"
2019,884.91,"Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)"
2020,605.952,"Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)"
2021,594.16,"Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)"
2022,573.83,"Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)"
2023,564.381,"Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)"
2024,548.28,"Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)"
