Year,Value,Series
2017,66.67,Proportion of groundwater bodies with good ambient water quality (%)
2020,33.33,Proportion of groundwater bodies with good ambient water quality (%)
2023,33.33,Proportion of groundwater bodies with good ambient water quality (%)
2017,0.0,Proportion of river water bodies with good ambient water quality (%)
2020,66.67,Proportion of river water bodies with good ambient water quality (%)
2023,66.67,Proportion of river water bodies with good ambient water quality (%)
2017,44.44,Proportion of bodies of water with good ambient water quality (%)
2020,44.44,Proportion of bodies of water with good ambient water quality (%)
2023,44.44,Proportion of bodies of water with good ambient water quality (%)
