Year,Value
2000,482.756
2001,460.173
2002,533.893
2003,533.798
2004,997.0
2005,699.584
2006,868.052
2007,973.569
2008,1351.63
2009,1388.89
2010,790.2
2011,1256.53
2012,1133.0
2013,219.713
2014,1131.85
2015,1049.88
2016,727.919
2017,1210.69
2018,2265.62
2019,2006.83
2020,2746.36
2021,1307.2
2022,1861.01
2023,3282.99
2024,1975.74
