Year,Type,Value
2000,Historique,0.136
2001,Historique,0.259
2002,Historique,0.187
2003,Historique,0.233
2004,Historique,0.291
2005,Historique,0.293
2006,Historique,0.243
2007,Historique,0.27
2008,Historique,0.747
2009,Historique,0.818
2010,Historique,0.286
2011,Historique,0.426
2012,Historique,0.466
2013,Historique,0.587
2014,Historique,0.522
2015,Historique,0.44
2016,Historique,0.425
2017,Historique,0.403
2018,Historique,0.443
2019,Historique,0.393
2020,Historique,0.392
2021,Historique,0.376
2022,Historique,0.369
2023,Historique,0.369
2024,Historique,0.378
2025,Projection,0.3825
2026,Projection,0.387
2027,Projection,0.3915
2028,Projection,0.396
2029,Projection,0.4005
2030,Projection,0.405
