Year,Value
2000,0.0
2001,0.039
2002,0.079
2003,0.092
2004,0.103
2005,0.111
2006,0.127
2007,0.147
2008,0.162
2009,0.18
2010,0.188
2011,0.206
2012,0.327
2013,0.401
2014,0.413
2015,0.418
2016,0.426
2017,0.429
2018,0.441
2019,0.454
2020,0.49
2021,0.573
2022,0.981
2023,0.965
2024,0.966
