Year,Series,Value
2001,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 10-14",3.9435
2002,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 10-14",3.5295
2003,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 10-14",4.4091
2004,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 10-14",4.8898
2005,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 10-14",4.6408
2006,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 10-14",4.1451
2007,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 10-14",4.2105
2008,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 10-14",3.4039
2009,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 10-14",3.6851
2010,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 10-14",2.2046
2011,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 10-14",2.2203
2012,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 10-14",2.1568
2013,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 10-14",2.0
2014,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 10-14",1.7008
2015,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 10-14",1.4582
2016,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 10-14",1.1883
2017,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 10-14",1.1883
2018,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 10-14",0.8897
2019,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 10-14",4.2541
2001,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 15-19",101.9754
2002,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 15-19",99.7198
2003,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 15-19",100.6889
2004,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 15-19",100.308
2005,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 15-19",99.1215
2006,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 15-19",96.2428
2007,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 15-19",97.903
2008,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 15-19",96.2037
2009,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 15-19",92.6566
2010,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 15-19",90.7671
2011,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 15-19",88.0
2012,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 15-19",79.0
2013,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 15-19",80.1807
2014,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 15-19",72.4806
2015,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 15-19",72.0388
2016,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 15-19",70.4496
2017,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 15-19",70.4496
2018,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 15-19",69.2159
2019,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 15-19",67.4201
