Year,Value
2006,2.1335
2007,2.4879
2008,2.5862
2009,4.2878
2010,4.4054
2011,1.3082
2012,1.6324
2013,5.5235
2014,5.1186
2015,6.9191
2016,4.641
2017,6.0796
2018,7.3676
2019,9.4318
2020,9.8847
2021,7.7482
2022,8.784
2023,13.4338
2024,6.6978
