Year,Series,Value
2022,Total wastewater generated (million m3/year),23.7
2022,Total wastewater generated (million m3/year),23.7
2022,Total wastewater generated (million m3/year),23.7
2022,Total wastewater treated (million m3/year),15.6
2022,"Proportion of wastewater treated, by activity and location (%)",65.5977
2022,"Proportion of wastewater safely treated, by activity and location (%)",65.5977
2022,Total wastewater safely treated (million m3/year),15.6
2020,Proportion of safely treated domestic wastewater flows (%),14.1667
2022,Proportion of safely treated domestic wastewater flows (%),7.7996
2024,Proportion of safely treated domestic wastewater flows (%),17.2192
