Year,Type,Value
2000,Historique,0.342
2001,Historique,0.318
2002,Historique,0.35
2003,Historique,0.335
2004,Historique,0.355
2005,Historique,0.393
2006,Historique,0.434
2007,Historique,0.457
2008,Historique,0.449
2009,Historique,0.465
2010,Historique,0.401
2011,Historique,0.47
2012,Historique,0.527
2013,Historique,0.44
2014,Historique,0.497
2015,Historique,0.404
2016,Historique,0.507
2017,Historique,0.601
2018,Historique,0.526
2019,Historique,0.444
2020,Historique,0.448
2021,Historique,0.44
2022,Historique,0.402
2023,Historique,0.463
2024,Historique,0.449
2025,Projection,0.4725
2026,Projection,0.496
2027,Projection,0.5195
2028,Projection,0.543
2029,Projection,0.5665
2030,Projection,0.59
