Year,Type,Value
2000,Historique,0.338
2001,Historique,0.318
2002,Historique,0.319
2003,Historique,0.32
2004,Historique,0.366
2005,Historique,0.322
2006,Historique,0.328
2007,Historique,0.334
2008,Historique,0.356
2009,Historique,0.341
2010,Historique,0.317
2011,Historique,0.317
2012,Historique,0.364
2013,Historique,0.343
2014,Historique,0.399
2015,Historique,0.36
2016,Historique,0.366
2017,Historique,0.323
2018,Historique,0.362
2019,Historique,0.462
2020,Historique,0.478
2021,Historique,0.536
2022,Historique,0.524
2023,Historique,0.623
2024,Historique,0.592
2025,Projection,0.626
2026,Projection,0.66
2027,Projection,0.694
2028,Projection,0.728
2029,Projection,0.762
2030,Projection,0.796
