Year,Series,Value
2002,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.01
2003,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.02
2004,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.07
2005,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.16
2006,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.25
2007,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.32
2008,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.39
2009,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.48
2010,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.62
2011,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.0
2011,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.72
2011,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.01
2011,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.65
2012,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.72
2012,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.09
2012,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.62
2012,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.01
2013,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.77
2013,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.01
2013,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.78
2014,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.01
2014,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.73
2015,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.27
2015,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.69
2015,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.4
2015,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.02
2016,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.65
2016,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.28
2016,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.03
2016,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.35
2017,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.07
2017,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.32
2017,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.33
2017,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.72
2018,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.3
2018,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.39
2018,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.13
2018,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.82
2019,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",0.93
2020,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",1.06
2021,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)",1.21
