Year,Series,Value
2015,Prevalence of moderate or severe food insecurity in the population (%),39.0
2016,Prevalence of moderate or severe food insecurity in the population (%),37.1
2017,Prevalence of moderate or severe food insecurity in the population (%),35.8
2018,Prevalence of moderate or severe food insecurity in the population (%),35.1
2019,Prevalence of moderate or severe food insecurity in the population (%),33.3
2020,Prevalence of moderate or severe food insecurity in the population (%),31.6
2021,Prevalence of moderate or severe food insecurity in the population (%),30.3
2022,Prevalence of moderate or severe food insecurity in the population (%),29.4
2023,Prevalence of moderate or severe food insecurity in the population (%),29.1
2015,Population in moderate or severe food insecurity (thousands of people),5690.6
2016,Population in moderate or severe food insecurity (thousands of people),5581.1
2017,Population in moderate or severe food insecurity (thousands of people),5537.8
2018,Population in moderate or severe food insecurity (thousands of people),5580.1
2019,Population in moderate or severe food insecurity (thousands of people),5438.1
2020,Population in moderate or severe food insecurity (thousands of people),5312.0
2021,Population in moderate or severe food insecurity (thousands of people),5218.8
2022,Population in moderate or severe food insecurity (thousands of people),5193.8
2023,Population in moderate or severe food insecurity (thousands of people),5256.7
2015,Prevalence of severe food insecurity in the population (%),7.5
2016,Prevalence of severe food insecurity in the population (%),7.2
2017,Prevalence of severe food insecurity in the population (%),7.0
2018,Prevalence of severe food insecurity in the population (%),6.8
2019,Prevalence of severe food insecurity in the population (%),6.0
2020,Prevalence of severe food insecurity in the population (%),5.1
2021,Prevalence of severe food insecurity in the population (%),4.5
2022,Prevalence of severe food insecurity in the population (%),4.0
2023,Prevalence of severe food insecurity in the population (%),4.0
2015,Population in severe food insecurity (thousands of people),1088.9
2016,Population in severe food insecurity (thousands of people),1077.8
2017,Population in severe food insecurity (thousands of people),1086.7
2018,Population in severe food insecurity (thousands of people),1079.3
2019,Population in severe food insecurity (thousands of people),984.2
2020,Population in severe food insecurity (thousands of people),848.7
2021,Population in severe food insecurity (thousands of people),771.2
2022,Population in severe food insecurity (thousands of people),704.9
2023,Population in severe food insecurity (thousands of people),717.0
