Year,Value
2000,20.494
2001,41.9257
2002,61.4689
2003,61.9098
2004,64.4218
2005,89.9701
2006,43.0341
2007,51.4583
2008,69.294
2009,64.5394
2010,71.7047
2011,48.5378
2012,65.844
2013,61.387
2014,76.469
2015,77.6493
2016,78.8258
2017,55.0521
2018,68.4329
2019,71.7118
2020,48.0604
2021,49.5362
2022,51.021
2023,78.815
2024,62.5196
