Year,Value
2000,113.7639
2001,84.8901
2002,80.4113
2003,88.8401
2004,77.8233
2005,66.6141
2006,95.3131
2007,76.5885
2008,76.8495
2009,82.4947
2010,110.8378
2011,134.0268
2012,102.1899
2013,158.5191
2014,192.901
2015,234.3082
2016,177.5616
2017,201.4725
2018,151.1228
2019,145.8241
2020,158.6116
2021,202.1945
2022,191.3383
2023,391.2754
2024,219.7401
