Year,Series,Value
2010,"Detected victims of human trafficking, by age and sex (number)",0.0
2017,"Detected victims of human trafficking, by age and sex (number)",7.0
2018,"Detected victims of human trafficking, by age and sex (number)",6.0
2019,"Detected victims of human trafficking, by age and sex (number)",19.0
2020,"Detected victims of human trafficking, by age and sex (number)",9.0
2022,"Detected victims of human trafficking, by age and sex (number)",10.0
2018,"Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)",0.0
2020,"Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (number)",0.0
2018,"Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (per 100,000 population)",0.0
2020,"Detected victims of human trafficking for forced labour, servitude and slavery, by age and sex (per 100,000 population)",0.0
2018,"Detected victims of human trafficking for removal of organ, by age and sex (number)",0.0
2019,"Detected victims of human trafficking for removal of organ, by age and sex (number)",0.0
2020,"Detected victims of human trafficking for removal of organ, by age and sex (number)",0.0
2018,"Detected victims of human trafficking for removal of organ, by age and sex (per 100,000 population)",0.0
2019,"Detected victims of human trafficking for removal of organ, by age and sex (per 100,000 population)",0.0
2020,"Detected victims of human trafficking for removal of organ, by age and sex (per 100,000 population)",0.0
2018,"Detected victims of human trafficking for other purposes, by age and sex (number)",0.0
2019,"Detected victims of human trafficking for other purposes, by age and sex (number)",0.0
2020,"Detected victims of human trafficking for other purposes, by age and sex (number)",0.0
2021,"Detected victims of human trafficking for other purposes, by age and sex (number)",0.0
2022,"Detected victims of human trafficking for other purposes, by age and sex (number)",0.0
2018,"Detected victims of human trafficking for other purposes, by age and sex (per 100,000 population)",0.0
2019,"Detected victims of human trafficking for other purposes, by age and sex (per 100,000 population)",0.0
2020,"Detected victims of human trafficking for other purposes, by age and sex (per 100,000 population)",0.0
2021,"Detected victims of human trafficking for other purposes, by age and sex (per 100,000 population)",0.0
2022,"Detected victims of human trafficking for other purposes, by age and sex (per 100,000 population)",0.0
2010,"Detected victims of human trafficking, by age and sex (per 100,000 population)",0.0
2017,"Detected victims of human trafficking, by age and sex (per 100,000 population)",0.05
2018,"Detected victims of human trafficking, by age and sex (per 100,000 population)",0.04
2019,"Detected victims of human trafficking, by age and sex (per 100,000 population)",0.12
2020,"Detected victims of human trafficking, by age and sex (per 100,000 population)",0.05
2022,"Detected victims of human trafficking, by age and sex (per 100,000 population)",0.06
2017,"Detected victims of human trafficking for sexual exploitation, by age and sex (number)",0.0
2018,"Detected victims of human trafficking for sexual exploitation, by age and sex (number)",0.0
2019,"Detected victims of human trafficking for sexual exploitation, by age and sex (number)",0.0
2020,"Detected victims of human trafficking for sexual exploitation, by age and sex (number)",0.0
2017,"Detected victims of human trafficking for sexual exploitation, by age and sex (per 100,000 population)",0.0
2018,"Detected victims of human trafficking for sexual exploitation, by age and sex (per 100,000 population)",0.0
2019,"Detected victims of human trafficking for sexual exploitation, by age and sex (per 100,000 population)",0.0
2020,"Detected victims of human trafficking for sexual exploitation, by age and sex (per 100,000 population)",0.0
