Year,Series,Value
2000,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%),14.472
2001,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%),14.472
2002,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%),14.472
2003,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%),14.472
2004,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%),14.472
2005,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%),14.472
2006,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%),14.472
2007,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%),14.472
2008,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%),14.472
2009,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%),14.472
2010,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%),14.472
2011,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%),24.1232
2012,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%),24.1232
2013,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%),24.1232
2014,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%),24.1232
2015,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%),24.1232
2016,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%),24.1232
2017,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%),24.1232
2018,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%),24.1232
2019,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%),24.1232
2020,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%),24.1232
2021,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%),24.1232
2022,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%),24.1232
2023,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%),24.1232
2024,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%),24.1232
2000,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),32.3274
2001,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),33.8265
2002,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),33.8265
2003,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),33.8265
2004,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),33.8265
2005,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),33.8265
2006,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),33.8265
2007,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),33.8265
2008,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),33.8265
2009,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),33.8265
2010,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),33.8265
2011,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),36.2268
2012,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),36.2268
2013,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),36.2268
2014,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),36.2268
2015,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),36.2268
2016,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),36.2268
2017,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),41.7957
2018,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),41.7957
2019,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),41.7957
2020,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),41.7957
2021,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),41.7957
2022,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),43.7206
2023,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),48.5468
2024,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),48.5468
