Year,Series,Value
2010,Amount of tracked exported Environmentally Sound Technologies (current United States dollars),26213111.55
2011,Amount of tracked exported Environmentally Sound Technologies (current United States dollars),22943897.0
2012,Amount of tracked exported Environmentally Sound Technologies (current United States dollars),31040199.0
2013,Amount of tracked exported Environmentally Sound Technologies (current United States dollars),26778612.0
2014,Amount of tracked exported Environmentally Sound Technologies (current United States dollars),33135932.0
2015,Amount of tracked exported Environmentally Sound Technologies (current United States dollars),20551096.0
2016,Amount of tracked exported Environmentally Sound Technologies (current United States dollars),28512751.0
2017,Amount of tracked exported Environmentally Sound Technologies (current United States dollars),26323775.29
2018,Amount of tracked exported Environmentally Sound Technologies (current United States dollars),22841152.62
2019,Amount of tracked exported Environmentally Sound Technologies (current United States dollars),23107278.76
2020,Amount of tracked exported Environmentally Sound Technologies (current United States dollars),28407376.23
2021,Amount of tracked exported Environmentally Sound Technologies (current United States dollars),30970392.58
2022,Amount of tracked exported Environmentally Sound Technologies (current United States dollars),32917382.47
2023,Amount of tracked exported Environmentally Sound Technologies (current United States dollars),43995585.34
2010,Amount of tracked imported Environmentally Sound Technologies (current United States dollars),192172256.0
2011,Amount of tracked imported Environmentally Sound Technologies (current United States dollars),262643986.0
2012,Amount of tracked imported Environmentally Sound Technologies (current United States dollars),319333489.0
2013,Amount of tracked imported Environmentally Sound Technologies (current United States dollars),318159705.0
2014,Amount of tracked imported Environmentally Sound Technologies (current United States dollars),288436647.0
2015,Amount of tracked imported Environmentally Sound Technologies (current United States dollars),319307869.0
2016,Amount of tracked imported Environmentally Sound Technologies (current United States dollars),378290997.0
2017,Amount of tracked imported Environmentally Sound Technologies (current United States dollars),399851871.4
2018,Amount of tracked imported Environmentally Sound Technologies (current United States dollars),354210126.5
2019,Amount of tracked imported Environmentally Sound Technologies (current United States dollars),405755200.1
2020,Amount of tracked imported Environmentally Sound Technologies (current United States dollars),455638867.9
2021,Amount of tracked imported Environmentally Sound Technologies (current United States dollars),605674482.8
2022,Amount of tracked imported Environmentally Sound Technologies (current United States dollars),608438360.1
2023,Amount of tracked imported Environmentally Sound Technologies (current United States dollars),679411368.7
2010,Total trade of tracked Environmentally Sound Technologies (current United States dollars),218385367.6
2011,Total trade of tracked Environmentally Sound Technologies (current United States dollars),285587883.0
2012,Total trade of tracked Environmentally Sound Technologies (current United States dollars),350373688.0
2013,Total trade of tracked Environmentally Sound Technologies (current United States dollars),344938317.0
2014,Total trade of tracked Environmentally Sound Technologies (current United States dollars),321572579.0
2015,Total trade of tracked Environmentally Sound Technologies (current United States dollars),339858965.0
2016,Total trade of tracked Environmentally Sound Technologies (current United States dollars),406803748.0
2017,Total trade of tracked Environmentally Sound Technologies (current United States dollars),426175646.7
2018,Total trade of tracked Environmentally Sound Technologies (current United States dollars),377051279.1
2019,Total trade of tracked Environmentally Sound Technologies (current United States dollars),428862478.8
2020,Total trade of tracked Environmentally Sound Technologies (current United States dollars),484046244.1
2021,Total trade of tracked Environmentally Sound Technologies (current United States dollars),636644875.4
2022,Total trade of tracked Environmentally Sound Technologies (current United States dollars),641355742.5
2023,Total trade of tracked Environmentally Sound Technologies (current United States dollars),723406954.1
