Year,Series,Value
2016,Data Sources performance index (Statistical Performance Indicators Pillar 4) (Index),46.85
2017,Data Sources performance index (Statistical Performance Indicators Pillar 4) (Index),50.45
2018,Data Sources performance index (Statistical Performance Indicators Pillar 4) (Index),51.55
2019,Data Sources performance index (Statistical Performance Indicators Pillar 4) (Index),51.55
2020,Data Sources performance index (Statistical Performance Indicators Pillar 4) (Index),49.225
2021,Data Sources performance index (Statistical Performance Indicators Pillar 4) (Index),50.875
2022,Data Sources performance index (Statistical Performance Indicators Pillar 4) (Index),48.925
2023,Data Sources performance index (Statistical Performance Indicators Pillar 4) (Index),48.925
2024,Data Sources performance index (Statistical Performance Indicators Pillar 4) (Index),57.625
2016,Data Infrastructure performance index (Statistical Performance Indicators Pillar 5) (Index),30.0
2017,Data Infrastructure performance index (Statistical Performance Indicators Pillar 5) (Index),40.0
2018,Data Infrastructure performance index (Statistical Performance Indicators Pillar 5) (Index),40.0
2019,Data Infrastructure performance index (Statistical Performance Indicators Pillar 5) (Index),50.0
2020,Data Infrastructure performance index (Statistical Performance Indicators Pillar 5) (Index),65.0
2021,Data Infrastructure performance index (Statistical Performance Indicators Pillar 5) (Index),75.0
2022,Data Infrastructure performance index (Statistical Performance Indicators Pillar 5) (Index),75.0
2023,Data Infrastructure performance index (Statistical Performance Indicators Pillar 5) (Index),75.0
2024,Data Infrastructure performance index (Statistical Performance Indicators Pillar 5) (Index),80.0
2022,Open Data Inventory (ODIN) Coverage Index,48.7
2024,Open Data Inventory (ODIN) Coverage Index,60.0
