Year,Value
2019,2.0
2019,4.0
2019,4.0
2019,3.0
2019,4.0
2019,3.0
2019,4.0
2021,4.0
2021,2.0
2021,3.0
2021,2.0
2021,4.0
2021,2.0
2021,2.0
