Year,Value,Series
2019,2328423.111,Food waste (Tonnes)
2019,1622979.607,Food waste (Tonnes)
2019,450564.0824,Food waste (Tonnes)
2019,254879.4213,Food waste (Tonnes)
2022,167620.8416,Food waste (Tonnes)
2022,539300.4183,Food waste (Tonnes)
2022,1328487.3,Food waste (Tonnes)
2022,2035408.56,Food waste (Tonnes)
2019,145.5193,Food waste per capita (KG)
2019,101.4313,Food waste per capita (KG)
2019,15.9292,Food waste per capita (KG)
2019,28.1589,Food waste per capita (KG)
2022,31.1438,Food waste per capita (KG)
2022,9.6799,Food waste per capita (KG)
2022,76.7182,Food waste per capita (KG)
2022,117.5419,Food waste per capita (KG)
