Year,Value,Series
2015,6.76,"Unemployment rate, by sex and disability - 13th ICLS (%) - BOTHSEX"
2015,6.76,"Unemployment rate, by sex and disability - 13th ICLS (%) - BOTHSEX"
2015,6.45,"Unemployment rate, by sex and disability - 13th ICLS (%) - BOTHSEX"
2016,2.06,"Unemployment rate, by sex and disability - 13th ICLS (%) - BOTHSEX"
2016,4.49,"Unemployment rate, by sex and disability - 13th ICLS (%) - BOTHSEX"
2016,4.46,"Unemployment rate, by sex and disability - 13th ICLS (%) - BOTHSEX"
2017,4.08,"Unemployment rate, by sex and disability - 13th ICLS (%) - BOTHSEX"
2017,4.08,"Unemployment rate, by sex and disability - 13th ICLS (%) - BOTHSEX"
2019,2.87,"Unemployment rate, by sex and disability - 13th ICLS (%) - BOTHSEX"
2019,2.86,"Unemployment rate, by sex and disability - 13th ICLS (%) - BOTHSEX"
2022,5.06,"Unemployment rate, by sex and disability - 13th ICLS (%) - BOTHSEX"
2022,5.08,"Unemployment rate, by sex and disability - 13th ICLS (%) - BOTHSEX"
2023,4.71,"Unemployment rate, by sex and disability - 13th ICLS (%) - BOTHSEX"
2023,4.69,"Unemployment rate, by sex and disability - 13th ICLS (%) - BOTHSEX"
2024,5.78,"Unemployment rate, by sex and disability - 13th ICLS (%) - BOTHSEX"
2024,5.8,"Unemployment rate, by sex and disability - 13th ICLS (%) - BOTHSEX"
2015,5.24,"Unemployment rate, by sex and disability - 13th ICLS (%) - FEMALE"
2015,7.33,"Unemployment rate, by sex and disability - 13th ICLS (%) - FEMALE"
2015,7.3,"Unemployment rate, by sex and disability - 13th ICLS (%) - FEMALE"
2016,4.75,"Unemployment rate, by sex and disability - 13th ICLS (%) - FEMALE"
2016,4.77,"Unemployment rate, by sex and disability - 13th ICLS (%) - FEMALE"
2017,3.64,"Unemployment rate, by sex and disability - 13th ICLS (%) - FEMALE"
2017,3.65,"Unemployment rate, by sex and disability - 13th ICLS (%) - FEMALE"
2019,3.05,"Unemployment rate, by sex and disability - 13th ICLS (%) - FEMALE"
2019,3.06,"Unemployment rate, by sex and disability - 13th ICLS (%) - FEMALE"
2022,7.58,"Unemployment rate, by sex and disability - 13th ICLS (%) - FEMALE"
2022,7.55,"Unemployment rate, by sex and disability - 13th ICLS (%) - FEMALE"
2023,5.9,"Unemployment rate, by sex and disability - 13th ICLS (%) - FEMALE"
2023,5.93,"Unemployment rate, by sex and disability - 13th ICLS (%) - FEMALE"
2024,7.12,"Unemployment rate, by sex and disability - 13th ICLS (%) - FEMALE"
2024,7.09,"Unemployment rate, by sex and disability - 13th ICLS (%) - FEMALE"
2015,7.39,"Unemployment rate, by sex and disability - 13th ICLS (%) - MALE"
2015,6.38,"Unemployment rate, by sex and disability - 13th ICLS (%) - MALE"
2015,6.39,"Unemployment rate, by sex and disability - 13th ICLS (%) - MALE"
2016,4.24,"Unemployment rate, by sex and disability - 13th ICLS (%) - MALE"
2016,4.28,"Unemployment rate, by sex and disability - 13th ICLS (%) - MALE"
2017,4.41,"Unemployment rate, by sex and disability - 13th ICLS (%) - MALE"
2017,4.42,"Unemployment rate, by sex and disability - 13th ICLS (%) - MALE"
