Year,Value,Series
2018,47.5564,Proportion of elected seats held by women in deliberative bodies of local government (%)
2023,47.2326,Proportion of elected seats held by women in deliberative bodies of local government (%)
2000,12.14,Proportion of seats held by women in national parliaments (% of total number of seats)
2001,12.14,Proportion of seats held by women in national parliaments (% of total number of seats)
2002,16.67,Proportion of seats held by women in national parliaments (% of total number of seats)
2003,19.17,Proportion of seats held by women in national parliaments (% of total number of seats)
2004,19.17,Proportion of seats held by women in national parliaments (% of total number of seats)
2005,19.17,Proportion of seats held by women in national parliaments (% of total number of seats)
2006,19.17,Proportion of seats held by women in national parliaments (% of total number of seats)
2007,19.17,Proportion of seats held by women in national parliaments (% of total number of seats)
2008,22.0,Proportion of seats held by women in national parliaments (% of total number of seats)
2009,22.0,Proportion of seats held by women in national parliaments (% of total number of seats)
2010,22.67,Proportion of seats held by women in national parliaments (% of total number of seats)
2011,22.67,Proportion of seats held by women in national parliaments (% of total number of seats)
2012,22.67,Proportion of seats held by women in national parliaments (% of total number of seats)
2013,42.67,Proportion of seats held by women in national parliaments (% of total number of seats)
2014,43.33,Proportion of seats held by women in national parliaments (% of total number of seats)
2015,42.67,Proportion of seats held by women in national parliaments (% of total number of seats)
2016,42.67,Proportion of seats held by women in national parliaments (% of total number of seats)
2017,42.67,Proportion of seats held by women in national parliaments (% of total number of seats)
2018,41.82,Proportion of seats held by women in national parliaments (% of total number of seats)
2019,41.82,Proportion of seats held by women in national parliaments (% of total number of seats)
2020,43.03,Proportion of seats held by women in national parliaments (% of total number of seats)
2021,43.03,Proportion of seats held by women in national parliaments (% of total number of seats)
2022,42.68,Proportion of seats held by women in national parliaments (% of total number of seats)
2023,46.06,Proportion of seats held by women in national parliaments (% of total number of seats)
2024,46.06,Proportion of seats held by women in national parliaments (% of total number of seats)
2000,17.0,Number of seats held by women in national parliaments (number)
2001,17.0,Number of seats held by women in national parliaments (number)
2002,20.0,Number of seats held by women in national parliaments (number)
2003,23.0,Number of seats held by women in national parliaments (number)
2004,23.0,Number of seats held by women in national parliaments (number)
2005,23.0,Number of seats held by women in national parliaments (number)
2006,23.0,Number of seats held by women in national parliaments (number)
2007,23.0,Number of seats held by women in national parliaments (number)
2008,33.0,Number of seats held by women in national parliaments (number)
2009,33.0,Number of seats held by women in national parliaments (number)
2010,34.0,Number of seats held by women in national parliaments (number)
2011,34.0,Number of seats held by women in national parliaments (number)
2012,34.0,Number of seats held by women in national parliaments (number)
2013,64.0,Number of seats held by women in national parliaments (number)
2014,65.0,Number of seats held by women in national parliaments (number)
2015,64.0,Number of seats held by women in national parliaments (number)
2016,64.0,Number of seats held by women in national parliaments (number)
2017,64.0,Number of seats held by women in national parliaments (number)
2018,69.0,Number of seats held by women in national parliaments (number)
2019,69.0,Number of seats held by women in national parliaments (number)
2020,71.0,Number of seats held by women in national parliaments (number)
2021,71.0,Number of seats held by women in national parliaments (number)
2022,70.0,Number of seats held by women in national parliaments (number)
2023,76.0,Number of seats held by women in national parliaments (number)
2024,76.0,Number of seats held by women in national parliaments (number)
2021,165.0,Current number of seats in national parliaments (number)
2022,164.0,Current number of seats in national parliaments (number)
2023,165.0,Current number of seats in national parliaments (number)
2024,165.0,Current number of seats in national parliaments (number)
