Year,Value,Series
2000,0.0143,Developing countries’ and least developed countries’ share of global merchandise exports (%)
2001,0.0162,Developing countries’ and least developed countries’ share of global merchandise exports (%)
2002,0.0164,Developing countries’ and least developed countries’ share of global merchandise exports (%)
2003,0.0166,Developing countries’ and least developed countries’ share of global merchandise exports (%)
2004,0.0164,Developing countries’ and least developed countries’ share of global merchandise exports (%)
2005,0.015,Developing countries’ and least developed countries’ share of global merchandise exports (%)
2006,0.0131,Developing countries’ and least developed countries’ share of global merchandise exports (%)
2007,0.0119,Developing countries’ and least developed countries’ share of global merchandise exports (%)
2008,0.0134,Developing countries’ and least developed countries’ share of global merchandise exports (%)
2009,0.016,Developing countries’ and least developed countries’ share of global merchandise exports (%)
2010,0.0141,Developing countries’ and least developed countries’ share of global merchandise exports (%)
2011,0.0139,Developing countries’ and least developed countries’ share of global merchandise exports (%)
2012,0.0137,Developing countries’ and least developed countries’ share of global merchandise exports (%)
2013,0.014,Developing countries’ and least developed countries’ share of global merchandise exports (%)
2014,0.0145,Developing countries’ and least developed countries’ share of global merchandise exports (%)
2015,0.0158,Developing countries’ and least developed countries’ share of global merchandise exports (%)
2016,0.0165,Developing countries’ and least developed countries’ share of global merchandise exports (%)
2017,0.0169,Developing countries’ and least developed countries’ share of global merchandise exports (%)
2018,0.0185,Developing countries’ and least developed countries’ share of global merchandise exports (%)
2019,0.022,Developing countries’ and least developed countries’ share of global merchandise exports (%)
2020,0.0223,Developing countries’ and least developed countries’ share of global merchandise exports (%)
2021,0.0233,Developing countries’ and least developed countries’ share of global merchandise exports (%)
2022,0.0229,Developing countries’ and least developed countries’ share of global merchandise exports (%)
2023,0.0223,Developing countries’ and least developed countries’ share of global merchandise exports (%)
2024,0.0262,Developing countries’ and least developed countries’ share of global merchandise exports (%)
2000,0.0254,Developing countries’ and least developed countries’ share of global services exports (%)
2001,0.0261,Developing countries’ and least developed countries’ share of global services exports (%)
2002,0.0279,Developing countries’ and least developed countries’ share of global services exports (%)
2003,0.03,Developing countries’ and least developed countries’ share of global services exports (%)
2004,0.0293,Developing countries’ and least developed countries’ share of global services exports (%)
2005,0.0282,Developing countries’ and least developed countries’ share of global services exports (%)
2006,0.0263,Developing countries’ and least developed countries’ share of global services exports (%)
2007,0.0328,Developing countries’ and least developed countries’ share of global services exports (%)
2008,0.0315,Developing countries’ and least developed countries’ share of global services exports (%)
2009,0.0278,Developing countries’ and least developed countries’ share of global services exports (%)
2010,0.0263,Developing countries’ and least developed countries’ share of global services exports (%)
2011,0.026,Developing countries’ and least developed countries’ share of global services exports (%)
2012,0.0263,Developing countries’ and least developed countries’ share of global services exports (%)
2013,0.0269,Developing countries’ and least developed countries’ share of global services exports (%)
2014,0.0249,Developing countries’ and least developed countries’ share of global services exports (%)
2015,0.0235,Developing countries’ and least developed countries’ share of global services exports (%)
2016,0.0236,Developing countries’ and least developed countries’ share of global services exports (%)
2017,0.0232,Developing countries’ and least developed countries’ share of global services exports (%)
2018,0.0229,Developing countries’ and least developed countries’ share of global services exports (%)
2019,0.022,Developing countries’ and least developed countries’ share of global services exports (%)
2020,0.0164,Developing countries’ and least developed countries’ share of global services exports (%)
2021,0.0201,Developing countries’ and least developed countries’ share of global services exports (%)
2022,0.0193,Developing countries’ and least developed countries’ share of global services exports (%)
2023,0.0184,Developing countries’ and least developed countries’ share of global services exports (%)
2024,0.018,Developing countries’ and least developed countries’ share of global services exports (%)
2000,0.0233,Developing countries’ and least developed countries’ share of global merchandise imports (%)
2001,0.027,Developing countries’ and least developed countries’ share of global merchandise imports (%)
2002,0.0294,Developing countries’ and least developed countries’ share of global merchandise imports (%)
2003,0.0307,Developing countries’ and least developed countries’ share of global merchandise imports (%)
2004,0.03,Developing countries’ and least developed countries’ share of global merchandise imports (%)
2005,0.0324,Developing countries’ and least developed countries’ share of global merchandise imports (%)
2006,0.0297,Developing countries’ and least developed countries’ share of global merchandise imports (%)
2007,0.0342,Developing countries’ and least developed countries’ share of global merchandise imports (%)
2008,0.0395,Developing countries’ and least developed countries’ share of global merchandise imports (%)
2009,0.037,Developing countries’ and least developed countries’ share of global merchandise imports (%)
2010,0.031,Developing countries’ and least developed countries’ share of global merchandise imports (%)
2011,0.032,Developing countries’ and least developed countries’ share of global merchandise imports (%)
2012,0.0345,Developing countries’ and least developed countries’ share of global merchandise imports (%)
2013,0.0345,Developing countries’ and least developed countries’ share of global merchandise imports (%)
2014,0.0344,Developing countries’ and least developed countries’ share of global merchandise imports (%)
2015,0.0335,Developing countries’ and least developed countries’ share of global merchandise imports (%)
2016,0.0338,Developing countries’ and least developed countries’ share of global merchandise imports (%)
2017,0.0374,Developing countries’ and least developed countries’ share of global merchandise imports (%)
2018,0.0407,Developing countries’ and least developed countries’ share of global merchandise imports (%)
2019,0.0421,Developing countries’ and least developed countries’ share of global merchandise imports (%)
2020,0.0437,Developing countries’ and least developed countries’ share of global merchandise imports (%)
2021,0.043,Developing countries’ and least developed countries’ share of global merchandise imports (%)
2022,0.047,Developing countries’ and least developed countries’ share of global merchandise imports (%)
2023,0.0489,Developing countries’ and least developed countries’ share of global merchandise imports (%)
2024,0.0476,Developing countries’ and least developed countries’ share of global merchandise imports (%)
2000,0.0267,Developing countries’ and least developed countries’ share of global services imports (%)
2001,0.0269,Developing countries’ and least developed countries’ share of global services imports (%)
2002,0.0292,Developing countries’ and least developed countries’ share of global services imports (%)
2003,0.0317,Developing countries’ and least developed countries’ share of global services imports (%)
2004,0.0315,Developing countries’ and least developed countries’ share of global services imports (%)
2005,0.0308,Developing countries’ and least developed countries’ share of global services imports (%)
2006,0.0284,Developing countries’ and least developed countries’ share of global services imports (%)
2007,0.0356,Developing countries’ and least developed countries’ share of global services imports (%)
2008,0.0358,Developing countries’ and least developed countries’ share of global services imports (%)
2009,0.0323,Developing countries’ and least developed countries’ share of global services imports (%)
2010,0.0287,Developing countries’ and least developed countries’ share of global services imports (%)
2011,0.0297,Developing countries’ and least developed countries’ share of global services imports (%)
2012,0.0294,Developing countries’ and least developed countries’ share of global services imports (%)
2013,0.0301,Developing countries’ and least developed countries’ share of global services imports (%)
2014,0.0278,Developing countries’ and least developed countries’ share of global services imports (%)
2015,0.0263,Developing countries’ and least developed countries’ share of global services imports (%)
2016,0.0268,Developing countries’ and least developed countries’ share of global services imports (%)
2017,0.0278,Developing countries’ and least developed countries’ share of global services imports (%)
2018,0.0287,Developing countries’ and least developed countries’ share of global services imports (%)
2019,0.0304,Developing countries’ and least developed countries’ share of global services imports (%)
2020,0.0522,Developing countries’ and least developed countries’ share of global services imports (%)
2021,0.0647,Developing countries’ and least developed countries’ share of global services imports (%)
2022,0.0572,Developing countries’ and least developed countries’ share of global services imports (%)
2023,0.0545,Developing countries’ and least developed countries’ share of global services imports (%)
2024,0.0478,Developing countries’ and least developed countries’ share of global services imports (%)
