Year,Value,Series
2000,10.0,Proportion of children moderately or severely wasted (%)
2005,8.7,Proportion of children moderately or severely wasted (%)
2011,9.8,Proportion of children moderately or severely wasted (%)
2012,8.7,Proportion of children moderately or severely wasted (%)
2013,9.0,Proportion of children moderately or severely wasted (%)
2014,8.0,Proportion of children moderately or severely wasted (%)
2015,8.9,Proportion of children moderately or severely wasted (%)
2016,7.1,Proportion of children moderately or severely wasted (%)
2017,9.0,Proportion of children moderately or severely wasted (%)
2018,7.8,Proportion of children moderately or severely wasted (%)
2019,8.1,Proportion of children moderately or severely wasted (%)
2023,10.2,Proportion of children moderately or severely wasted (%)
2000,166.2,Children moderately or severely wasted (thousands)
2005,161.2,Children moderately or severely wasted (thousands)
2011,207.7,Children moderately or severely wasted (thousands)
2012,191.3,Children moderately or severely wasted (thousands)
2013,202.2,Children moderately or severely wasted (thousands)
2014,184.8,Children moderately or severely wasted (thousands)
2015,208.1,Children moderately or severely wasted (thousands)
2016,168.8,Children moderately or severely wasted (thousands)
2017,214.4,Children moderately or severely wasted (thousands)
2018,186.1,Children moderately or severely wasted (thousands)
2019,194.8,Children moderately or severely wasted (thousands)
2023,249.4,Children moderately or severely wasted (thousands)
2000,2.6,Proportion of children moderately or severely overweight (%)
2001,2.5,Proportion of children moderately or severely overweight (%)
2002,2.3,Proportion of children moderately or severely overweight (%)
2003,2.2,Proportion of children moderately or severely overweight (%)
2004,2.1,Proportion of children moderately or severely overweight (%)
2005,1.9,Proportion of children moderately or severely overweight (%)
2006,1.8,Proportion of children moderately or severely overweight (%)
2007,1.7,Proportion of children moderately or severely overweight (%)
2008,1.6,Proportion of children moderately or severely overweight (%)
2009,1.5,Proportion of children moderately or severely overweight (%)
2010,1.5,Proportion of children moderately or severely overweight (%)
2011,1.4,Proportion of children moderately or severely overweight (%)
2012,1.4,Proportion of children moderately or severely overweight (%)
2013,1.3,Proportion of children moderately or severely overweight (%)
2014,1.3,Proportion of children moderately or severely overweight (%)
2015,1.3,Proportion of children moderately or severely overweight (%)
2016,1.3,Proportion of children moderately or severely overweight (%)
2017,1.3,Proportion of children moderately or severely overweight (%)
2018,1.3,Proportion of children moderately or severely overweight (%)
2019,1.4,Proportion of children moderately or severely overweight (%)
2020,1.5,Proportion of children moderately or severely overweight (%)
2021,1.6,Proportion of children moderately or severely overweight (%)
2022,1.7,Proportion of children moderately or severely overweight (%)
2023,1.9,Proportion of children moderately or severely overweight (%)
2024,2.1,Proportion of children moderately or severely overweight (%)
2000,43.8,Children moderately or severely overweight (thousands)
2001,42.4,Children moderately or severely overweight (thousands)
2002,40.8,Children moderately or severely overweight (thousands)
2003,39.3,Children moderately or severely overweight (thousands)
2004,37.8,Children moderately or severely overweight (thousands)
2005,36.3,Children moderately or severely overweight (thousands)
2006,34.9,Children moderately or severely overweight (thousands)
2007,33.6,Children moderately or severely overweight (thousands)
2008,32.4,Children moderately or severely overweight (thousands)
2009,31.4,Children moderately or severely overweight (thousands)
2010,30.6,Children moderately or severely overweight (thousands)
2011,30.0,Children moderately or severely overweight (thousands)
2012,29.7,Children moderately or severely overweight (thousands)
2013,29.6,Children moderately or severely overweight (thousands)
2014,29.6,Children moderately or severely overweight (thousands)
2015,29.7,Children moderately or severely overweight (thousands)
2016,30.0,Children moderately or severely overweight (thousands)
2017,30.6,Children moderately or severely overweight (thousands)
2018,31.6,Children moderately or severely overweight (thousands)
2019,33.0,Children moderately or severely overweight (thousands)
2020,35.0,Children moderately or severely overweight (thousands)
2021,37.7,Children moderately or severely overweight (thousands)
2022,41.3,Children moderately or severely overweight (thousands)
2023,46.3,Children moderately or severely overweight (thousands)
2024,53.1,Children moderately or severely overweight (thousands)
