Year,Value,Series
2000,24.6,Proportion of children moderately or severely stunted (%)
2001,24.0,Proportion of children moderately or severely stunted (%)
2002,23.3,Proportion of children moderately or severely stunted (%)
2003,22.7,Proportion of children moderately or severely stunted (%)
2004,22.0,Proportion of children moderately or severely stunted (%)
2005,21.5,Proportion of children moderately or severely stunted (%)
2006,20.9,Proportion of children moderately or severely stunted (%)
2007,20.3,Proportion of children moderately or severely stunted (%)
2008,19.7,Proportion of children moderately or severely stunted (%)
2009,19.2,Proportion of children moderately or severely stunted (%)
2010,18.7,Proportion of children moderately or severely stunted (%)
2011,18.4,Proportion of children moderately or severely stunted (%)
2012,18.2,Proportion of children moderately or severely stunted (%)
2013,18.2,Proportion of children moderately or severely stunted (%)
2014,18.2,Proportion of children moderately or severely stunted (%)
2015,18.2,Proportion of children moderately or severely stunted (%)
2016,18.1,Proportion of children moderately or severely stunted (%)
2017,17.9,Proportion of children moderately or severely stunted (%)
2018,17.6,Proportion of children moderately or severely stunted (%)
2019,17.3,Proportion of children moderately or severely stunted (%)
2020,17.0,Proportion of children moderately or severely stunted (%)
2021,16.9,Proportion of children moderately or severely stunted (%)
2022,17.0,Proportion of children moderately or severely stunted (%)
2023,17.2,Proportion of children moderately or severely stunted (%)
2024,17.2,Proportion of children moderately or severely stunted (%)
2000,407.7,Children moderately or severely stunted (thousands)
2001,407.3,Children moderately or severely stunted (thousands)
2002,405.7,Children moderately or severely stunted (thousands)
2003,403.1,Children moderately or severely stunted (thousands)
2004,401.0,Children moderately or severely stunted (thousands)
2005,399.7,Children moderately or severely stunted (thousands)
2006,398.3,Children moderately or severely stunted (thousands)
2007,395.8,Children moderately or severely stunted (thousands)
2008,392.4,Children moderately or severely stunted (thousands)
2009,390.2,Children moderately or severely stunted (thousands)
2010,389.2,Children moderately or severely stunted (thousands)
2011,392.3,Children moderately or severely stunted (thousands)
2012,399.6,Children moderately or severely stunted (thousands)
2013,409.5,Children moderately or severely stunted (thousands)
2014,418.6,Children moderately or severely stunted (thousands)
2015,425.4,Children moderately or severely stunted (thousands)
2016,428.0,Children moderately or severely stunted (thousands)
2017,425.5,Children moderately or severely stunted (thousands)
2018,419.8,Children moderately or severely stunted (thousands)
2019,414.7,Children moderately or severely stunted (thousands)
2020,409.8,Children moderately or severely stunted (thousands)
2021,408.0,Children moderately or severely stunted (thousands)
2022,411.4,Children moderately or severely stunted (thousands)
2023,421.4,Children moderately or severely stunted (thousands)
2024,428.3,Children moderately or severely stunted (thousands)
