Year,Value,Series
2002,0.01,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)"
2003,0.02,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)"
2004,0.07,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)"
2005,0.16,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)"
2006,0.25,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)"
2007,0.32,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)"
2008,0.39,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)"
2009,0.48,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)"
2010,0.62,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)"
2011,0.0,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)"
2011,0.72,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)"
2011,0.01,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)"
2011,0.65,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)"
2012,0.72,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)"
2012,0.09,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)"
2012,0.62,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)"
2012,0.01,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)"
2013,0.77,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)"
2013,0.01,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)"
2013,0.78,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)"
2014,0.01,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)"
2014,0.73,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)"
2015,0.27,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)"
2015,0.69,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)"
2015,0.4,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)"
2015,0.02,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)"
2016,0.65,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)"
2016,0.28,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)"
2016,0.03,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)"
2016,0.35,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)"
2017,0.07,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)"
2017,0.32,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)"
2017,0.33,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)"
2017,0.72,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)"
2018,0.3,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)"
2018,0.39,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)"
2018,0.13,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)"
2018,0.82,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)"
2019,0.93,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)"
2020,1.06,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)"
2021,1.21,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)"
2022,1.4,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)"
2023,1.97,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)"
2024,4.04,"Fixed broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)"
2002,1200.0,"Number of fixed broadband subscriptions, by speed (number)"
2003,2383.0,"Number of fixed broadband subscriptions, by speed (number)"
2004,7665.0,"Number of fixed broadband subscriptions, by speed (number)"
2005,18028.0,"Number of fixed broadband subscriptions, by speed (number)"
2006,28926.0,"Number of fixed broadband subscriptions, by speed (number)"
2007,38132.0,"Number of fixed broadband subscriptions, by speed (number)"
2008,47358.0,"Number of fixed broadband subscriptions, by speed (number)"
2009,58720.0,"Number of fixed broadband subscriptions, by speed (number)"
2010,78647.0,"Number of fixed broadband subscriptions, by speed (number)"
2011,1493.0,"Number of fixed broadband subscriptions, by speed (number)"
2011,83612.0,"Number of fixed broadband subscriptions, by speed (number)"
2011,92713.0,"Number of fixed broadband subscriptions, by speed (number)"
2011,593.0,"Number of fixed broadband subscriptions, by speed (number)"
2012,95561.0,"Number of fixed broadband subscriptions, by speed (number)"
2012,82558.0,"Number of fixed broadband subscriptions, by speed (number)"
2012,12132.0,"Number of fixed broadband subscriptions, by speed (number)"
2012,871.0,"Number of fixed broadband subscriptions, by speed (number)"
2013,106733.0,"Number of fixed broadband subscriptions, by speed (number)"
2013,105825.0,"Number of fixed broadband subscriptions, by speed (number)"
2013,906.0,"Number of fixed broadband subscriptions, by speed (number)"
2014,1403.0,"Number of fixed broadband subscriptions, by speed (number)"
2014,103362.0,"Number of fixed broadband subscriptions, by speed (number)"
2015,2498.0,"Number of fixed broadband subscriptions, by speed (number)"
2015,58251.0,"Number of fixed broadband subscriptions, by speed (number)"
2015,39862.0,"Number of fixed broadband subscriptions, by speed (number)"
