Year,Value,Series
2015,100611.0,"Number of fixed broadband subscriptions, by speed (number)"
2016,42542.0,"Number of fixed broadband subscriptions, by speed (number)"
2016,98353.0,"Number of fixed broadband subscriptions, by speed (number)"
2016,3870.0,"Number of fixed broadband subscriptions, by speed (number)"
2016,51941.0,"Number of fixed broadband subscriptions, by speed (number)"
2017,51376.0,"Number of fixed broadband subscriptions, by speed (number)"
2017,111795.0,"Number of fixed broadband subscriptions, by speed (number)"
2017,11309.0,"Number of fixed broadband subscriptions, by speed (number)"
2017,49110.0,"Number of fixed broadband subscriptions, by speed (number)"
2018,47474.0,"Number of fixed broadband subscriptions, by speed (number)"
2018,20595.0,"Number of fixed broadband subscriptions, by speed (number)"
2018,129820.0,"Number of fixed broadband subscriptions, by speed (number)"
2018,61751.0,"Number of fixed broadband subscriptions, by speed (number)"
2019,152047.0,"Number of fixed broadband subscriptions, by speed (number)"
2020,177363.0,"Number of fixed broadband subscriptions, by speed (number)"
2021,208314.0,"Number of fixed broadband subscriptions, by speed (number)"
2022,247760.0,"Number of fixed broadband subscriptions, by speed (number)"
2023,356839.0,"Number of fixed broadband subscriptions, by speed (number)"
2024,747163.0,"Number of fixed broadband subscriptions, by speed (number)"
