Year,Value,Series
2000,0.0007,"Domestic material consumption per capita, by type of raw material (tonnes)"
2000,2.482,"Domestic material consumption per capita, by type of raw material (tonnes)"
2000,1.2954,"Domestic material consumption per capita, by type of raw material (tonnes)"
2000,-0.0022,"Domestic material consumption per capita, by type of raw material (tonnes)"
2000,0.0395,"Domestic material consumption per capita, by type of raw material (tonnes)"
2000,0.1429,"Domestic material consumption per capita, by type of raw material (tonnes)"
2000,3.9583,"Domestic material consumption per capita, by type of raw material (tonnes)"
2001,0.0008,"Domestic material consumption per capita, by type of raw material (tonnes)"
2001,4.0768,"Domestic material consumption per capita, by type of raw material (tonnes)"
2001,0.1481,"Domestic material consumption per capita, by type of raw material (tonnes)"
2001,0.0469,"Domestic material consumption per capita, by type of raw material (tonnes)"
2001,0.0018,"Domestic material consumption per capita, by type of raw material (tonnes)"
2001,1.4256,"Domestic material consumption per capita, by type of raw material (tonnes)"
2001,2.4537,"Domestic material consumption per capita, by type of raw material (tonnes)"
2002,2.1607,"Domestic material consumption per capita, by type of raw material (tonnes)"
2002,1.3527,"Domestic material consumption per capita, by type of raw material (tonnes)"
2002,-0.0098,"Domestic material consumption per capita, by type of raw material (tonnes)"
2002,0.0486,"Domestic material consumption per capita, by type of raw material (tonnes)"
2002,0.1484,"Domestic material consumption per capita, by type of raw material (tonnes)"
2002,3.7014,"Domestic material consumption per capita, by type of raw material (tonnes)"
2002,0.0008,"Domestic material consumption per capita, by type of raw material (tonnes)"
2003,0.1561,"Domestic material consumption per capita, by type of raw material (tonnes)"
2003,0.0441,"Domestic material consumption per capita, by type of raw material (tonnes)"
2003,0.0026,"Domestic material consumption per capita, by type of raw material (tonnes)"
2003,1.6282,"Domestic material consumption per capita, by type of raw material (tonnes)"
2003,2.4819,"Domestic material consumption per capita, by type of raw material (tonnes)"
2003,0.0007,"Domestic material consumption per capita, by type of raw material (tonnes)"
2003,4.3136,"Domestic material consumption per capita, by type of raw material (tonnes)"
2004,2.3352,"Domestic material consumption per capita, by type of raw material (tonnes)"
2004,1.6368,"Domestic material consumption per capita, by type of raw material (tonnes)"
2004,0.0461,"Domestic material consumption per capita, by type of raw material (tonnes)"
