Year,Value,Series
2015,39.0,Prevalence of moderate or severe food insecurity in the population (%)
2016,37.1,Prevalence of moderate or severe food insecurity in the population (%)
2017,35.8,Prevalence of moderate or severe food insecurity in the population (%)
2018,35.1,Prevalence of moderate or severe food insecurity in the population (%)
2019,33.3,Prevalence of moderate or severe food insecurity in the population (%)
2020,31.6,Prevalence of moderate or severe food insecurity in the population (%)
2021,30.3,Prevalence of moderate or severe food insecurity in the population (%)
2022,29.4,Prevalence of moderate or severe food insecurity in the population (%)
2023,29.1,Prevalence of moderate or severe food insecurity in the population (%)
2015,5690.6,Population in moderate or severe food insecurity (thousands of people)
2016,5581.1,Population in moderate or severe food insecurity (thousands of people)
2017,5537.8,Population in moderate or severe food insecurity (thousands of people)
2018,5580.1,Population in moderate or severe food insecurity (thousands of people)
2019,5438.1,Population in moderate or severe food insecurity (thousands of people)
2020,5312.0,Population in moderate or severe food insecurity (thousands of people)
2021,5218.8,Population in moderate or severe food insecurity (thousands of people)
2022,5193.8,Population in moderate or severe food insecurity (thousands of people)
2023,5256.7,Population in moderate or severe food insecurity (thousands of people)
2015,7.5,Prevalence of severe food insecurity in the population (%)
2016,7.2,Prevalence of severe food insecurity in the population (%)
2017,7.0,Prevalence of severe food insecurity in the population (%)
2018,6.8,Prevalence of severe food insecurity in the population (%)
2019,6.0,Prevalence of severe food insecurity in the population (%)
2020,5.1,Prevalence of severe food insecurity in the population (%)
2021,4.5,Prevalence of severe food insecurity in the population (%)
2022,4.0,Prevalence of severe food insecurity in the population (%)
2023,4.0,Prevalence of severe food insecurity in the population (%)
2015,1088.9,Population in severe food insecurity (thousands of people)
2016,1077.8,Population in severe food insecurity (thousands of people)
2017,1086.7,Population in severe food insecurity (thousands of people)
2018,1079.3,Population in severe food insecurity (thousands of people)
2019,984.2,Population in severe food insecurity (thousands of people)
2020,848.7,Population in severe food insecurity (thousands of people)
2021,771.2,Population in severe food insecurity (thousands of people)
2022,704.9,Population in severe food insecurity (thousands of people)
2023,717.0,Population in severe food insecurity (thousands of people)
