Year,Value,Series
2014,5.3273,"Number of automated teller machines (ATMs) per 100,000 adults"
2015,5.2669,"Number of automated teller machines (ATMs) per 100,000 adults"
2016,5.5367,"Number of automated teller machines (ATMs) per 100,000 adults"
2017,5.5918,"Number of automated teller machines (ATMs) per 100,000 adults"
2018,6.0092,"Number of automated teller machines (ATMs) per 100,000 adults"
2019,5.78,"Number of automated teller machines (ATMs) per 100,000 adults"
2020,6.3985,"Number of automated teller machines (ATMs) per 100,000 adults"
2021,6.5359,"Number of automated teller machines (ATMs) per 100,000 adults"
2022,6.7977,"Number of automated teller machines (ATMs) per 100,000 adults"
2023,6.6791,"Number of automated teller machines (ATMs) per 100,000 adults"
2024,6.2776,"Number of automated teller machines (ATMs) per 100,000 adults"
2004,1.9527,"Number of commercial bank branches per 100,000 adults"
2005,2.4803,"Number of commercial bank branches per 100,000 adults"
2006,2.89,"Number of commercial bank branches per 100,000 adults"
2007,3.0717,"Number of commercial bank branches per 100,000 adults"
2008,3.7364,"Number of commercial bank branches per 100,000 adults"
2009,3.9304,"Number of commercial bank branches per 100,000 adults"
2010,4.1969,"Number of commercial bank branches per 100,000 adults"
2011,4.5103,"Number of commercial bank branches per 100,000 adults"
2012,4.7464,"Number of commercial bank branches per 100,000 adults"
2013,4.6571,"Number of commercial bank branches per 100,000 adults"
2014,4.6875,"Number of commercial bank branches per 100,000 adults"
2015,4.9935,"Number of commercial bank branches per 100,000 adults"
2016,5.0083,"Number of commercial bank branches per 100,000 adults"
2017,5.5918,"Number of commercial bank branches per 100,000 adults"
2018,5.4201,"Number of commercial bank branches per 100,000 adults"
2019,5.0149,"Number of commercial bank branches per 100,000 adults"
2020,5.011,"Number of commercial bank branches per 100,000 adults"
2021,5.3598,"Number of commercial bank branches per 100,000 adults"
2022,5.2054,"Number of commercial bank branches per 100,000 adults"
2023,5.309,"Number of commercial bank branches per 100,000 adults"
2024,5.2721,"Number of commercial bank branches per 100,000 adults"
