Year,Value,Series
2005,-2.2879,Lakes and rivers permanent water area change (%)
2006,0.4647,Lakes and rivers permanent water area change (%)
2007,1.6246,Lakes and rivers permanent water area change (%)
2008,2.1069,Lakes and rivers permanent water area change (%)
2009,3.6695,Lakes and rivers permanent water area change (%)
2010,4.3899,Lakes and rivers permanent water area change (%)
2011,2.2206,Lakes and rivers permanent water area change (%)
2012,1.5055,Lakes and rivers permanent water area change (%)
2013,3.3848,Lakes and rivers permanent water area change (%)
2014,3.9955,Lakes and rivers permanent water area change (%)
2015,4.9687,Lakes and rivers permanent water area change (%)
2016,5.5393,Lakes and rivers permanent water area change (%)
2017,9.6715,Lakes and rivers permanent water area change (%)
2018,11.5293,Lakes and rivers permanent water area change (%)
2019,13.6861,Lakes and rivers permanent water area change (%)
2020,15.9753,Lakes and rivers permanent water area change (%)
2021,19.334,Lakes and rivers permanent water area change (%)
2022,16.549,Lakes and rivers permanent water area change (%)
2000,331.9504,Lakes and rivers permanent water area (square kilometres)
2001,325.0466,Lakes and rivers permanent water area (square kilometres)
2002,387.2238,Lakes and rivers permanent water area (square kilometres)
2003,476.7938,Lakes and rivers permanent water area (square kilometres)
2004,464.6721,Lakes and rivers permanent water area (square kilometres)
2005,447.5473,Lakes and rivers permanent water area (square kilometres)
2006,460.1549,Lakes and rivers permanent water area (square kilometres)
2007,465.4674,Lakes and rivers permanent water area (square kilometres)
2008,467.6765,Lakes and rivers permanent water area (square kilometres)
2009,474.8339,Lakes and rivers permanent water area (square kilometres)
2010,478.1336,Lakes and rivers permanent water area (square kilometres)
2011,468.1975,Lakes and rivers permanent water area (square kilometres)
2012,464.922,Lakes and rivers permanent water area (square kilometres)
2013,473.5297,Lakes and rivers permanent water area (square kilometres)
2014,476.3268,Lakes and rivers permanent water area (square kilometres)
2015,480.7842,Lakes and rivers permanent water area (square kilometres)
2016,483.3978,Lakes and rivers permanent water area (square kilometres)
2017,502.3243,Lakes and rivers permanent water area (square kilometres)
2018,510.8338,Lakes and rivers permanent water area (square kilometres)
2019,520.7122,Lakes and rivers permanent water area (square kilometres)
2020,531.1977,Lakes and rivers permanent water area (square kilometres)
2021,546.5811,Lakes and rivers permanent water area (square kilometres)
2022,533.8251,Lakes and rivers permanent water area (square kilometres)
2000,0.1688,Lakes and rivers permanent water area (% of total land area)
2001,0.1652,Lakes and rivers permanent water area (% of total land area)
2002,0.1968,Lakes and rivers permanent water area (% of total land area)
2003,0.2424,Lakes and rivers permanent water area (% of total land area)
2004,0.2362,Lakes and rivers permanent water area (% of total land area)
2005,0.2275,Lakes and rivers permanent water area (% of total land area)
2006,0.2339,Lakes and rivers permanent water area (% of total land area)
2007,0.2366,Lakes and rivers permanent water area (% of total land area)
2008,0.2377,Lakes and rivers permanent water area (% of total land area)
2009,0.2414,Lakes and rivers permanent water area (% of total land area)
2010,0.2431,Lakes and rivers permanent water area (% of total land area)
2011,0.238,Lakes and rivers permanent water area (% of total land area)
2012,0.2364,Lakes and rivers permanent water area (% of total land area)
2013,0.2407,Lakes and rivers permanent water area (% of total land area)
2014,0.2422,Lakes and rivers permanent water area (% of total land area)
2015,0.2444,Lakes and rivers permanent water area (% of total land area)
2016,0.2457,Lakes and rivers permanent water area (% of total land area)
2017,0.2554,Lakes and rivers permanent water area (% of total land area)
2018,0.2597,Lakes and rivers permanent water area (% of total land area)
2019,0.2647,Lakes and rivers permanent water area (% of total land area)
2020,0.27,Lakes and rivers permanent water area (% of total land area)
2021,0.2779,Lakes and rivers permanent water area (% of total land area)
2022,0.2714,Lakes and rivers permanent water area (% of total land area)
2005,-6.8136,Lakes and rivers seasonal water area change (%)
2006,-8.9495,Lakes and rivers seasonal water area change (%)
2007,-15.2301,Lakes and rivers seasonal water area change (%)
2008,-4.522,Lakes and rivers seasonal water area change (%)
2009,-13.1455,Lakes and rivers seasonal water area change (%)
2010,2.5661,Lakes and rivers seasonal water area change (%)
2011,11.5766,Lakes and rivers seasonal water area change (%)
2012,16.3482,Lakes and rivers seasonal water area change (%)
2013,13.8051,Lakes and rivers seasonal water area change (%)
2014,26.4426,Lakes and rivers seasonal water area change (%)
2015,17.5965,Lakes and rivers seasonal water area change (%)
2016,24.1004,Lakes and rivers seasonal water area change (%)
2017,36.3342,Lakes and rivers seasonal water area change (%)
2018,29.0494,Lakes and rivers seasonal water area change (%)
2019,28.6692,Lakes and rivers seasonal water area change (%)
2020,40.452,Lakes and rivers seasonal water area change (%)
2021,43.4358,Lakes and rivers seasonal water area change (%)
2022,34.1248,Lakes and rivers seasonal water area change (%)
2000,530.7294,Lakes and rivers seasonal water area (square kilometres)
2001,738.8582,Lakes and rivers seasonal water area (square kilometres)
2002,1025.5869,Lakes and rivers seasonal water area (square kilometres)
2003,1281.9856,Lakes and rivers seasonal water area (square kilometres)
2004,1649.6273,Lakes and rivers seasonal water area (square kilometres)
2005,1423.4511,Lakes and rivers seasonal water area (square kilometres)
2006,1390.8245,Lakes and rivers seasonal water area (square kilometres)
2007,1294.8857,Lakes and rivers seasonal water area (square kilometres)
2008,1458.4554,Lakes and rivers seasonal water area (square kilometres)
2009,1326.7295,Lakes and rivers seasonal water area (square kilometres)
2010,1566.7278,Lakes and rivers seasonal water area (square kilometres)
2011,1704.3671,Lakes and rivers seasonal water area (square kilometres)
2012,1777.2544,Lakes and rivers seasonal water area (square kilometres)
2013,1738.4076,Lakes and rivers seasonal water area (square kilometres)
2014,1931.4487,Lakes and rivers seasonal water area (square kilometres)
2015,1796.3226,Lakes and rivers seasonal water area (square kilometres)
2016,1895.6715,Lakes and rivers seasonal water area (square kilometres)
2017,2082.546,Lakes and rivers seasonal water area (square kilometres)
2018,1971.2693,Lakes and rivers seasonal water area (square kilometres)
2019,1965.4616,Lakes and rivers seasonal water area (square kilometres)
2020,2145.4471,Lakes and rivers seasonal water area (square kilometres)
2021,2191.0252,Lakes and rivers seasonal water area (square kilometres)
2022,2048.7976,Lakes and rivers seasonal water area (square kilometres)
2000,0.2698,Lakes and rivers seasonal water area (% of total land area)
2001,0.3756,Lakes and rivers seasonal water area (% of total land area)
2002,0.5214,Lakes and rivers seasonal water area (% of total land area)
2003,0.6517,Lakes and rivers seasonal water area (% of total land area)
2004,0.8386,Lakes and rivers seasonal water area (% of total land area)
2005,0.7236,Lakes and rivers seasonal water area (% of total land area)
2006,0.707,Lakes and rivers seasonal water area (% of total land area)
2007,0.6583,Lakes and rivers seasonal water area (% of total land area)
2008,0.7414,Lakes and rivers seasonal water area (% of total land area)
2009,0.6745,Lakes and rivers seasonal water area (% of total land area)
2010,0.7965,Lakes and rivers seasonal water area (% of total land area)
2011,0.8664,Lakes and rivers seasonal water area (% of total land area)
2012,0.9035,Lakes and rivers seasonal water area (% of total land area)
2013,0.8837,Lakes and rivers seasonal water area (% of total land area)
2014,0.9819,Lakes and rivers seasonal water area (% of total land area)
2015,0.9132,Lakes and rivers seasonal water area (% of total land area)
2016,0.9637,Lakes and rivers seasonal water area (% of total land area)
2017,1.0587,Lakes and rivers seasonal water area (% of total land area)
2018,1.0021,Lakes and rivers seasonal water area (% of total land area)
2019,0.9992,Lakes and rivers seasonal water area (% of total land area)
