Year,Value,Series
2000,-5.5408,Current account balance as a proportion of GDP (%)
2001,-3.7751,Current account balance as a proportion of GDP (%)
2002,-4.5434,Current account balance as a proportion of GDP (%)
2003,-4.9897,Current account balance as a proportion of GDP (%)
2004,-5.0745,Current account balance as a proportion of GDP (%)
2005,-6.1415,Current account balance as a proportion of GDP (%)
2006,-7.3687,Current account balance as a proportion of GDP (%)
2007,-9.3791,Current account balance as a proportion of GDP (%)
2008,-11.2221,Current account balance as a proportion of GDP (%)
2009,-5.3092,Current account balance as a proportion of GDP (%)
2010,-3.6565,Current account balance as a proportion of GDP (%)
2011,-6.4453,Current account balance as a proportion of GDP (%)
2012,-8.6519,Current account balance as a proportion of GDP (%)
2013,-8.1923,Current account balance as a proportion of GDP (%)
2014,-6.8029,Current account balance as a proportion of GDP (%)
2015,-5.3162,Current account balance as a proportion of GDP (%)
2016,-4.1788,Current account balance as a proportion of GDP (%)
2017,-7.2691,Current account balance as a proportion of GDP (%)
2018,-9.5829,Current account balance as a proportion of GDP (%)
2019,-8.1095,Current account balance as a proportion of GDP (%)
2020,-10.8532,Current account balance as a proportion of GDP (%)
2021,-12.09,Current account balance as a proportion of GDP (%)
2022,-19.9486,Current account balance as a proportion of GDP (%)
2023,-19.7803,Current account balance as a proportion of GDP (%)
2000,-23021425.45,"Portfolio investment, net (Balance of Payments, current United States dollars)"
2001,-7568292.542,"Portfolio investment, net (Balance of Payments, current United States dollars)"
2002,38311219.95,"Portfolio investment, net (Balance of Payments, current United States dollars)"
2003,45828794.54,"Portfolio investment, net (Balance of Payments, current United States dollars)"
2004,46795411.08,"Portfolio investment, net (Balance of Payments, current United States dollars)"
2005,4343221.772,"Portfolio investment, net (Balance of Payments, current United States dollars)"
2006,67014323.82,"Portfolio investment, net (Balance of Payments, current United States dollars)"
2007,-22501548.86,"Portfolio investment, net (Balance of Payments, current United States dollars)"
2008,-81995508.08,"Portfolio investment, net (Balance of Payments, current United States dollars)"
2009,-138339166.1,"Portfolio investment, net (Balance of Payments, current United States dollars)"
2010,-80801260.35,"Portfolio investment, net (Balance of Payments, current United States dollars)"
2011,-881611059.1,"Portfolio investment, net (Balance of Payments, current United States dollars)"
2012,-275703168.1,"Portfolio investment, net (Balance of Payments, current United States dollars)"
2013,39526999.13,"Portfolio investment, net (Balance of Payments, current United States dollars)"
2014,-319134502.9,"Portfolio investment, net (Balance of Payments, current United States dollars)"
2015,-199325555.3,"Portfolio investment, net (Balance of Payments, current United States dollars)"
2016,543212200.2,"Portfolio investment, net (Balance of Payments, current United States dollars)"
2017,-862154449.0,"Portfolio investment, net (Balance of Payments, current United States dollars)"
2018,-1364991690.0,"Portfolio investment, net (Balance of Payments, current United States dollars)"
2019,-98401461.49,"Portfolio investment, net (Balance of Payments, current United States dollars)"
2020,-349660690.9,"Portfolio investment, net (Balance of Payments, current United States dollars)"
2021,-602980159.0,"Portfolio investment, net (Balance of Payments, current United States dollars)"
2022,-442926003.7,"Portfolio investment, net (Balance of Payments, current United States dollars)"
2023,-208098380.7,"Portfolio investment, net (Balance of Payments, current United States dollars)"
2000,1.3577,"Foreign direct investment, net inflows, as a proportion of GDP (%)"
2001,0.6928,"Foreign direct investment, net inflows, as a proportion of GDP (%)"
2002,1.1802,"Foreign direct investment, net inflows, as a proportion of GDP (%)"
2003,0.9865,"Foreign direct investment, net inflows, as a proportion of GDP (%)"
2004,1.3653,"Foreign direct investment, net inflows, as a proportion of GDP (%)"
2005,1.5255,"Foreign direct investment, net inflows, as a proportion of GDP (%)"
2006,2.4777,"Foreign direct investment, net inflows, as a proportion of GDP (%)"
2007,2.5115,"Foreign direct investment, net inflows, as a proportion of GDP (%)"
2008,2.704,"Foreign direct investment, net inflows, as a proportion of GDP (%)"
2009,2.053,"Foreign direct investment, net inflows, as a proportion of GDP (%)"
2010,1.6878,"Foreign direct investment, net inflows, as a proportion of GDP (%)"
2011,1.9011,"Foreign direct investment, net inflows, as a proportion of GDP (%)"
2012,1.5637,"Foreign direct investment, net inflows, as a proportion of GDP (%)"
2013,1.6458,"Foreign direct investment, net inflows, as a proportion of GDP (%)"
2014,2.0361,"Foreign direct investment, net inflows, as a proportion of GDP (%)"
2015,2.3019,"Foreign direct investment, net inflows, as a proportion of GDP (%)"
2016,2.4811,"Foreign direct investment, net inflows, as a proportion of GDP (%)"
2017,2.8019,"Foreign direct investment, net inflows, as a proportion of GDP (%)"
2018,3.6677,"Foreign direct investment, net inflows, as a proportion of GDP (%)"
2019,4.5525,"Foreign direct investment, net inflows, as a proportion of GDP (%)"
2020,7.524,"Foreign direct investment, net inflows, as a proportion of GDP (%)"
