Year,Value,Series
2000,4.0,Number of local breeds (not extinct) (number)
2001,4.0,Number of local breeds (not extinct) (number)
2002,4.0,Number of local breeds (not extinct) (number)
2003,4.0,Number of local breeds (not extinct) (number)
2004,5.0,Number of local breeds (not extinct) (number)
2005,5.0,Number of local breeds (not extinct) (number)
2006,16.0,Number of local breeds (not extinct) (number)
2007,16.0,Number of local breeds (not extinct) (number)
2008,16.0,Number of local breeds (not extinct) (number)
2009,16.0,Number of local breeds (not extinct) (number)
2010,16.0,Number of local breeds (not extinct) (number)
2011,16.0,Number of local breeds (not extinct) (number)
2012,16.0,Number of local breeds (not extinct) (number)
2013,16.0,Number of local breeds (not extinct) (number)
2014,16.0,Number of local breeds (not extinct) (number)
2015,16.0,Number of local breeds (not extinct) (number)
2016,16.0,Number of local breeds (not extinct) (number)
2017,16.0,Number of local breeds (not extinct) (number)
2018,16.0,Number of local breeds (not extinct) (number)
2019,16.0,Number of local breeds (not extinct) (number)
2020,19.0,Number of local breeds (not extinct) (number)
2021,19.0,Number of local breeds (not extinct) (number)
2022,19.0,Number of local breeds (not extinct) (number)
2023,19.0,Number of local breeds (not extinct) (number)
2024,19.0,Number of local breeds (not extinct) (number)
2000,12.0,Number of transboundary breeds (not extinct) (number)
2001,12.0,Number of transboundary breeds (not extinct) (number)
2002,12.0,Number of transboundary breeds (not extinct) (number)
2003,12.0,Number of transboundary breeds (not extinct) (number)
2004,14.0,Number of transboundary breeds (not extinct) (number)
2005,14.0,Number of transboundary breeds (not extinct) (number)
2006,34.0,Number of transboundary breeds (not extinct) (number)
2007,34.0,Number of transboundary breeds (not extinct) (number)
2008,34.0,Number of transboundary breeds (not extinct) (number)
2009,34.0,Number of transboundary breeds (not extinct) (number)
2010,34.0,Number of transboundary breeds (not extinct) (number)
2011,34.0,Number of transboundary breeds (not extinct) (number)
2012,34.0,Number of transboundary breeds (not extinct) (number)
2013,34.0,Number of transboundary breeds (not extinct) (number)
2014,34.0,Number of transboundary breeds (not extinct) (number)
2015,34.0,Number of transboundary breeds (not extinct) (number)
2016,34.0,Number of transboundary breeds (not extinct) (number)
2017,34.0,Number of transboundary breeds (not extinct) (number)
2018,34.0,Number of transboundary breeds (not extinct) (number)
2019,34.0,Number of transboundary breeds (not extinct) (number)
2020,34.0,Number of transboundary breeds (not extinct) (number)
2021,34.0,Number of transboundary breeds (not extinct) (number)
2022,34.0,Number of transboundary breeds (not extinct) (number)
2023,34.0,Number of transboundary breeds (not extinct) (number)
2024,34.0,Number of transboundary breeds (not extinct) (number)
2000,0.0,Proportion of local breeds classified as being at risk of extinction as a share of local breeds with known level of extinction risk (%)
2001,0.0,Proportion of local breeds classified as being at risk of extinction as a share of local breeds with known level of extinction risk (%)
2002,0.0,Proportion of local breeds classified as being at risk of extinction as a share of local breeds with known level of extinction risk (%)
2003,0.0,Proportion of local breeds classified as being at risk of extinction as a share of local breeds with known level of extinction risk (%)
