Year,Value,Series
2000,51.38,Above-ground biomass in forest (tonnes per hectare)
2010,51.38,Above-ground biomass in forest (tonnes per hectare)
2015,51.38,Above-ground biomass in forest (tonnes per hectare)
2020,51.38,Above-ground biomass in forest (tonnes per hectare)
2000,0.0,Forest area certified under an independently verified certification scheme (thousands of hectares)
2005,0.0,Forest area certified under an independently verified certification scheme (thousands of hectares)
2010,0.0,Forest area certified under an independently verified certification scheme (thousands of hectares)
2015,0.0,Forest area certified under an independently verified certification scheme (thousands of hectares)
2016,0.0,Forest area certified under an independently verified certification scheme (thousands of hectares)
2017,0.0,Forest area certified under an independently verified certification scheme (thousands of hectares)
2018,0.0,Forest area certified under an independently verified certification scheme (thousands of hectares)
2019,0.0,Forest area certified under an independently verified certification scheme (thousands of hectares)
2020,0.0,Forest area certified under an independently verified certification scheme (thousands of hectares)
2021,0.0,Forest area certified under an independently verified certification scheme (thousands of hectares)
2022,0.0,Forest area certified under an independently verified certification scheme (thousands of hectares)
2023,0.0,Forest area certified under an independently verified certification scheme (thousands of hectares)
2024,0.0,Forest area certified under an independently verified certification scheme (thousands of hectares)
2000,-0.17,Annual forest area change rate (%)
2015,-0.17,Annual forest area change rate (%)
2000,17.05,Proportion of forest area with a long-term management plan (%)
2010,21.94,Proportion of forest area with a long-term management plan (%)
2015,28.69,Proportion of forest area with a long-term management plan (%)
2020,33.23,Proportion of forest area with a long-term management plan (%)
2000,11.74,Proportion of forest area within legally established protected areas (%)
2010,11.74,Proportion of forest area within legally established protected areas (%)
2015,11.74,Proportion of forest area within legally established protected areas (%)
2020,11.75,Proportion of forest area within legally established protected areas (%)
