Year,Value
2000,29.0843
2001,286.8712
2002,49.4851
2003,53.8568
2004,94.8188
2005,70.9879
2006,50.3509
2007,91.4645
2008,88.9162
2009,75.592
2010,72.9912
2011,121.4564
2012,96.0339
2013,122.0993
2014,175.4719
2015,138.5974
2016,81.3949
2017,69.7279
2018,246.9768
2019,183.9943
2020,140.0496
2021,84.7535
2022,97.9758
2023,99.9977
2024,109.3526
