Year,Value
2000,0.32
2001,0.53
2002,0.31
2003,11.9
2004,0.64
2005,0.71
2006,12.17
2007,11.22
2008,11.27
2009,12.44
2010,0.15
2011,11.42
2012,1.14
2013,1.2
2014,0.07
2015,1.32
2016,13.08
2017,1.44
2018,0.01
2019,0.01
2020,1.41
2021,1.41
2022,0.01
