Year,Value,Series
2019,552.3107,Gross receipts by developing countries of official sustainable development grants (millions of United States dollars)
2020,838.3108,Gross receipts by developing countries of official sustainable development grants (millions of United States dollars)
2021,719.1386,Gross receipts by developing countries of official sustainable development grants (millions of United States dollars)
2022,640.1193,Gross receipts by developing countries of official sustainable development grants (millions of United States dollars)
2023,820.9929,Gross receipts by developing countries of official sustainable development grants (millions of United States dollars)
2024,871.2505,Gross receipts by developing countries of official sustainable development grants (millions of United States dollars)
2020,0.2973,Gross receipts by developing countries of official sustainable development grants from South-South cooperation providers (millions of United States dollars)
2022,0.4853,Gross receipts by developing countries of official sustainable development grants from South-South cooperation providers (millions of United States dollars)
2024,0.1441,Gross receipts by developing countries of official sustainable development grants from South-South cooperation providers (millions of United States dollars)
2016,132.5087,Gross receipts by developing countries of mobilised private finance (MPF) - on an experimental basis (millions of United States dollars)
2017,13.724,Gross receipts by developing countries of mobilised private finance (MPF) - on an experimental basis (millions of United States dollars)
2018,112.0615,Gross receipts by developing countries of mobilised private finance (MPF) - on an experimental basis (millions of United States dollars)
2019,106.8534,Gross receipts by developing countries of mobilised private finance (MPF) - on an experimental basis (millions of United States dollars)
2020,178.9642,Gross receipts by developing countries of mobilised private finance (MPF) - on an experimental basis (millions of United States dollars)
2021,528.2101,Gross receipts by developing countries of mobilised private finance (MPF) - on an experimental basis (millions of United States dollars)
2022,129.3164,Gross receipts by developing countries of mobilised private finance (MPF) - on an experimental basis (millions of United States dollars)
2023,448.9896,Gross receipts by developing countries of mobilised private finance (MPF) - on an experimental basis (millions of United States dollars)
2024,701.8351,Gross receipts by developing countries of mobilised private finance (MPF) - on an experimental basis (millions of United States dollars)
2019,905.0222,Gross receipts by developing countries of official concessional sustainable development loans (millions of United States dollars)
2020,741.0249,Gross receipts by developing countries of official concessional sustainable development loans (millions of United States dollars)
2021,534.973,Gross receipts by developing countries of official concessional sustainable development loans (millions of United States dollars)
2022,762.2854,Gross receipts by developing countries of official concessional sustainable development loans (millions of United States dollars)
2023,1064.3079,Gross receipts by developing countries of official concessional sustainable development loans (millions of United States dollars)
2024,434.4359,Gross receipts by developing countries of official concessional sustainable development loans (millions of United States dollars)
2019,590.6357,Gross receipts by developing countries of official non-concessional sustainable development loans (millions of United States dollars)
2020,575.1769,Gross receipts by developing countries of official non-concessional sustainable development loans (millions of United States dollars)
2021,783.4572,Gross receipts by developing countries of official non-concessional sustainable development loans (millions of United States dollars)
2022,1020.162,Gross receipts by developing countries of official non-concessional sustainable development loans (millions of United States dollars)
2023,1019.1699,Gross receipts by developing countries of official non-concessional sustainable development loans (millions of United States dollars)
2024,884.3175,Gross receipts by developing countries of official non-concessional sustainable development loans (millions of United States dollars)
2016,12.3553,Gross receipts by developing countries of private grants (millions of United States dollars)
2017,33.2847,Gross receipts by developing countries of private grants (millions of United States dollars)
2018,36.1316,Gross receipts by developing countries of private grants (millions of United States dollars)
2019,29.5481,Gross receipts by developing countries of private grants (millions of United States dollars)
2020,63.8477,Gross receipts by developing countries of private grants (millions of United States dollars)
2021,67.46,Gross receipts by developing countries of private grants (millions of United States dollars)
2022,60.9493,Gross receipts by developing countries of private grants (millions of United States dollars)
2023,82.2647,Gross receipts by developing countries of private grants (millions of United States dollars)
2024,42.101,Gross receipts by developing countries of private grants (millions of United States dollars)
2000,62.9375,Foreign direct investment (FDI) inflows (millions of United States dollars)
2001,31.9424,Foreign direct investment (FDI) inflows (millions of United States dollars)
2002,78.053,Foreign direct investment (FDI) inflows (millions of United States dollars)
2003,52.4948,Foreign direct investment (FDI) inflows (millions of United States dollars)
2004,77.0285,Foreign direct investment (FDI) inflows (millions of United States dollars)
2005,44.5885,Foreign direct investment (FDI) inflows (millions of United States dollars)
2006,220.3198,Foreign direct investment (FDI) inflows (millions of United States dollars)
2007,297.4271,Foreign direct investment (FDI) inflows (millions of United States dollars)
2008,397.6329,Foreign direct investment (FDI) inflows (millions of United States dollars)
2009,320.0328,Foreign direct investment (FDI) inflows (millions of United States dollars)
2010,266.1076,Foreign direct investment (FDI) inflows (millions of United States dollars)
2011,338.2189,Foreign direct investment (FDI) inflows (millions of United States dollars)
2012,276.1754,Foreign direct investment (FDI) inflows (millions of United States dollars)
2013,311.3668,Foreign direct investment (FDI) inflows (millions of United States dollars)
2014,403.0981,Foreign direct investment (FDI) inflows (millions of United States dollars)
2015,409.1661,Foreign direct investment (FDI) inflows (millions of United States dollars)
2016,472.4098,Foreign direct investment (FDI) inflows (millions of United States dollars)
2017,588.293,Foreign direct investment (FDI) inflows (millions of United States dollars)
2018,847.8416,Foreign direct investment (FDI) inflows (millions of United States dollars)
2019,1065.4628,Foreign direct investment (FDI) inflows (millions of United States dollars)
2020,1845.6639,Foreign direct investment (FDI) inflows (millions of United States dollars)
2021,2588.125,Foreign direct investment (FDI) inflows (millions of United States dollars)
2022,2928.6761,Foreign direct investment (FDI) inflows (millions of United States dollars)
2023,4789.9967,Foreign direct investment (FDI) inflows (millions of United States dollars)
2024,2016.4289,Foreign direct investment (FDI) inflows (millions of United States dollars)
